Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., Proposition 1",0286,1708,545,2253,3757,59.97%,618,1197,1815
"Houston |.S.D., Proposition 1",0287,851,408,1259,1658,75.93%,335,690,1025
"Houston |.S.D., Proposition 1",0288,881,314,1195,2208,54.12%,371,538,909
"Houston |.S.D., Proposition 1",0291,603,233,836,1218,68.64%,199,486,685
"Houston |.S.D., Proposition 1",0292,549,178,727,1379,52.72%,224,330,554
"Houston |.S.D., Proposition 1",0293,778,475,1253,1811,69.19%,311,696,1007
"Houston |.S.D., Proposition 1",0294,852,198,1050,2054,51.12%,283,542,825
"Houston |.S.D., Proposition 1",0295,270,111,381,894,42.62%,120,179,299
"Houston |.S.D., Proposition 1",0296,701,385,1086,1705,63.70%,321,479,800
"Houston |.S.D., Proposition 1",0297,729,341,1070,2055,52.07%,344,407,751
"Houston |.S.D., Proposition 1",0298,1095,387,1482,2236,66.28%,409,732,1141
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., Proposition 1",0299,1,0,1,0,0.00%,0,0,0
"Houston |.S.D., Proposition 1",0303,1895,692,2588,3375,76.68%,633,1264,1897
"Houston |.S.D., Proposition 1",0304,1190,474,1664,2326,71.54%,440,914,1354
"Houston |.S.D., Proposition 1",0308,303,129,432,839,51.49%,128,190,318
"Houston |.S.D., Proposition 1",0311,738,529,1267,2472,51.25%,320,533,853
"Houston |.S.D., Proposition 1",0312,1705,552,2257,3724,60.61%,615,1002,1617
"Houston |.S.D., Proposition 1",0313,23,8,31,61,50.82%,0,22,22
"Houston |.S.D., Proposition 1",0315,801,353,1154,1636,70.54%,276,668,944
"Houston |.S.D., Proposition 1",0316,739,340,1079,1513,71.32%,315,579,894
"Houston |.S.D., Proposition 1",0317,593,252,845,1661,50.87%,250,405,655
"Houston |.S.D., Proposition 1",0318,1726,529,2255,3776,59.72%,645,1205,1850
"Houston |.S.D., Proposition 1",0319,994,271,1265,2199,57.53%,387,627,1014
"Houston |.S.D., Proposition 1",0320,495,217,712,1386,51.37%,191,291,482
"Houston |.S.D., Proposition 1",0321,802,316,1118,2241,49.89%,324,443,767
"Houston |.S.D., Proposition 1",0322,100,47,147,392,37.50%,47,61,108
"Houston |.S.D., Proposition 1",0323,700,296,996,1793,55.55%,280,488,768
"Houston |.S.D., Proposition 1",0324,1444,560,2004,2607,76.87%,566,1086,1652
"Houston |.S.D., Proposition 1",0325,802,257,1059,2176,48.67%,347,426,773
"Houston |.S.D., Proposition 1",0326,271,129,400,736,54.35%,119,165,284
"Houston |.S.D., Proposition 1",0327,738,141,879,1758,50.00%,199,398,597
"Houston |.S.D., Proposition 1",0329,547,252,799,1521,52.53%,240,373,613
"Houston |.S.D., Proposition 1",0332,1355,503,1858,2926,63.50%,622,854,1476
"Houston |.S.D., Proposition 1",0335,489,293,782,1679,46.58%,232,261,493
"Houston |.S.D., Proposition 1",0336,2489,689,3178,4771,66.61%,970,1693,2663
"Houston |.S.D., Proposition 1",0337,367,155,522,1108,47.11%,174,207,381
"Houston |.S.D., Proposition 1",0339,704,303,1007,1909,52.75%,300,448,748
"Houston |.S.D., Proposition 1",0341,380,278,658,1372,47.96%,207,273,480
"Houston |.S.D., Proposition 1",0343,722,370,1092,2099,52.02%,257,469,726
"Houston |.S.D., Proposition 1",0344,381,207,588,1225,48.00%,142,292,434
"Houston |.S.D., Proposition 1",0345,575,349,924,1945,47.51%,342,380,722
"Houston |.S.D., Proposition 1",0350,1674,582,2256,3269,69.01%,649,1028,1677
"Houston |.S.D., Proposition 1",0355,821,239,1060,1714,61.84%,332,510,842
"Houston |.S.D., Proposition 1",0356,1542,582,2124,3126,67.95%,581,1083,1664
"Houston |.S.D., Proposition 1",0359,147,59,206,588,35.03%,66,87,153
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., Proposition 1",0360,1858,597,2455,3309,74.19%,709,1207,1916
"Houston |.S.D., Proposition 1",0361,323,688,1011,1808,55.92%,393,331,724
"Houston |.S.D., Proposition 1",0365,827,174,1001,1348,74.26%,219,578,797
"Houston |.S.D., Proposition 1",0367,453,204,657,1256,52.31%,170,327,497
"Houston |.S.D., Proposition 1",0369,132,29,161,678,23.75%,50,66,116
"Houston |.S.D., Proposition 1",0371,210,78,288,537,53.63%,77,128,205
"Houston |.S.D., Proposition 1",0372,509,180,689,1274,54.08%,202,334,536
"Houston |.S.D., Proposition 1",0373,81,13,74,163,45.40%,25,38,63
"Houston |.S.D., Proposition 1",0374,176,165,341,720,47.36%,85,142,227
"Houston |.S.D., Proposition 1",0379,857,388,1245,2149,57.93%,299,670,969
"Houston |.S.D., Proposition 1",0384,1152,444,1596,2725,58.57%,424,789,1213
"Houston |.S.D., Proposition 1",0389,397,293,690,1359,50.77%,241,289,530
"Houston |.S.D., Proposition 1",0390,698,271,969,1482,65.38%,303,484,787
"Houston |.S.D., Proposition 1",0392,652,145,797,1426,55.89%,224,390,614
"Houston |.S.D., Proposition 1",0395,1007,371,1378,1875,73.49%,347,745,1092
"Houston |.S.D., Proposition 1",0396,1035,204,1239,2072,59.80%,252,560,812
"Houston |.S.D., Proposition 1",0401,703,257,960,1971,48.71%,233,396,629
"Houston |.S.D., Proposition 1",0402,897,262,1159,1911,60.65%,346,566,912
"Houston |.S.D., Proposition 1",0403,959,387,1346,1719,78.30%,357,772,1129
"Houston |.S.D., Proposition 1",0406,275,65,340,649,52.39%,95,135,230
"Houston |.S.D., Proposition 1",0412,158,80,236,478,49.37%,56,114,170
"Houston |.S.D., Proposition 1",0422,1367,401,1768,3348,52.81%,471,898,1369
"Houston |.S.D., Proposition 1",0424,0,1,1,0,0.00%,0,0,0
"Houston |.S.D., Proposition 1",0425,240,118,358,773,46.31%,86,159,245
"Houston |.S.D., Proposition 1",0426,485,228,713,1266,56.32%,203,314,517
"Houston |.S.D., Proposition 1",0427,290,104,394,738,53.39%,114,173,287
"Houston |.S.D., Proposition 1",0430,524,291,815,1794,45.43%,204,253,457
"Houston |.S.D., Proposition 1",0431,1218,604,1822,3860,47.20%,588,656,1244
"Houston |.S.D., Proposition 1",0432,456,249,705,1568,44.96%,218,308,526
"Houston |.S.D., Proposition 1",0433,163,88,251,561,44.74%,90,88,178
"Houston |.S.D., Proposition 1",0434,831,293,1124,1557,72.19%,302,513,815
"Houston |.S.D., Proposition 1",0435,1951,567,2518,3363,74.87%,630,1195,1825
"Houston |.S.D., Proposition 1",0436,2008,678,2686,3809,70.52%,687,1276,1963
"Houston |.S.D., Proposition 1",0446,82,43,125,299,41.81%,46,43,89
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., Proposition 1",0448,1763,529,2292,3155,72.65%,589,1272,1861
"Houston |.S.D., Proposition 1",0450,407,125,532,757,70.28%,162,286,448
"Houston |.S.D., Proposition 1",0453,551,417,1078,2039,52.87%,310,483,793
"Houston |.S.D., Proposition 1",0454,1043,288,1331,2509,53.05%,322,532,854
"Houston |.S.D., Proposition 1",0455,669,173,842,1713,49.15%,227,367,594
"Houston |.S.D., Proposition 1",0458,914,253,1167,2025,57.63%,340,572,912
"Houston |.S.D., Proposition 1",0461,2240,669,2909,4054,71.76%,778,1409,2187
"Houston |.S.D., Proposition 1",0462,1451,717,2168,3376,64.22%,556,1187,1743
"Houston |.S.D., Proposition 1",0472,463,339,802,1131,70.91%,242,406,648
"Houston |.S.D., Proposition 1",0489,865,344,1209,1958,61.75%,368,585,953
"Houston |.S.D., Proposition 1",0490,980,346,1326,2105,62.99%,391,636,1027
"Houston |.S.D., Proposition 1",0491,937,488,1425,2110,67.54%,363,658,1021
"Houston |.S.D., Proposition 1",0492,1193,383,1576,2509,62.81%,471,724,1195
"Houston |.S.D., Proposition 1",0497,728,160,888,1458,60.91%,181,380,561
"Houston |.S.D., Proposition 1",0498,3,0,3,7,42.86%,1,2,3
"Houston |.S.D., Proposition 1",0499,1433,397,1830,2336,78.34%,487,967,1454
"Houston |.S.D., Proposition 1",0501,1146,406,1552,2016,76.98%,466,840,1306
"Houston |.S.D., Proposition 1",0504,1270,482,1752,2318,75.58%,475,931,1406
"Houston |.S.D., Proposition 1",0505,1750,735,2485,4076,60.97%,715,1211,1926
"Houston |.S.D., Proposition 1",0506,1495,690,2185,3516,62.17%,626,1075,1701
"Houston |.S.D., Proposition 1",0507,53,33,86,239,35.98%,22,26,48
"Houston |.S.D., Proposition 1",0510,1701,666,2367,3822,61.93%,730,1107,1837
"Houston |.S.D., Proposition 1",0525,1440,574,2014,3260,61.78%,559,963,1522
"Houston |.S.D., Proposition 1",0526,235,157,392,820,47.80%,127,160,287
"Houston |.S.D., Proposition 1",0527,0,0,0,0,0.00%,0,0,0
"Houston |.S.D., Proposition 1",0528,17,8,25,78,32.05%,8,9,17
"Houston |.S.D., Proposition 1",0530,375,212,587,1236,47.49%,187,210,397
"Houston |.S.D., Proposition 1",0538,371,203,574,1332,43.09%,172,240,412
"Houston |.S.D., Proposition 1",0540,997,349,1346,1759,76.52%,424,649,1073
"Houston |.S.D., Proposition 1",0541,2157,761,2918,5001,58.35%,940,1300,2240
