Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George Moore,DEM Sherrie L. Matula,Totals
"County School Trustee, Position 1, Precinct 2",0835,87,71,158,311,50.80%,39,111,150
"County School Trustee, Position 1, Precinct 2",0836,128,0,128,248,51.61%,10,107,117
"County School Trustee, Position 1, Precinct 2",0850,129,19,148,208,71.15%,57,83,140
"County School Trustee, Position 1, Precinct 2",0856,0,3,3,0,0.00%,0,1,1
"County School Trustee, Position 1, Precinct 2",0860,1,1,2,0,0.00%,0,2,2
"County School Trustee, Position 1, Precinct 2",0866,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 1, Precinct 2",0867,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 1, Precinct 2",0872,15,6,22,68,32.35%,11,11,22
"County School Trustee, Position 1, Precinct 2",0885,1570,323,1893,2811,67.34%,1031,797,1828
"County School Trustee, Position 1, Precinct 2",0889,113,28,141,238,59.24%,38,95,133
"County School Trustee, Position 1, Precinct 2",0905,390,136,526,946,55.60%,197,309,506
"County School Trustee, Position 1, Precinct 2",0907,53,37,90,201,44.78%,8,80,88
"County School Trustee, Position 1, Precinct 2",0908,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 1, Precinct 2",0909,7,1,8,21,38.10%,2,5,7
"County School Trustee, Position 1, Precinct 2",0910,78,37,115,236,48.73%,35,69,104
"County School Trustee, Position 1, Precinct 2",0914,42,0,42,124,33.87%,8,33,41
"County School Trustee, Position 1, Precinct 2",0920,41,13,54,79,68.35%,31,21,52
"County School Trustee, Position 1, Precinct 2",0921,27,6,33,61,54.10%,7,26,33
"County School Trustee, Position 1, Precinct 2",0925,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George Moore,DEM Sherrie L. Matula,Totals
"County School Trustee, Position 1, Precinct 2",0934,9,4,13,37,35.14%,7,6,13
"County School Trustee, Position 1, Precinct 2",0935,12,9,21,55,38.18%,8,12,20
"County School Trustee, Position 1, Precinct 2",0936,23,9,32,76,42.11%,8,20,28
"County School Trustee, Position 1, Precinct 2",0937,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 1, Precinct 2",0941,284,144,428,870,49.20%,196,205,401
"County School Trustee, Position 1, Precinct 2",0950,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 1, Precinct 2",0954,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 1, Precinct 2",0962,33,12,45,88,51.14%,7,35,42
"County School Trustee, Position 1, Precinct 2",0967,82,24,106,186,56.99%,37,62,99
"County School Trustee, Position 1, Precinct 2",0968,455,127,582,906,64.24%,115,447,562
"County School Trustee, Position 1, Precinct 2",0972,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 1, Precinct 2",0988,62,15,77,117,65.81%,65,8,73
"County School Trustee, Position 1, Precinct 2",0989,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 1, Precinct 2",0993,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 1, Precinct 2",0999,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 1, Precinct 2",1005,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 1, Precinct 2",1008,620,107,727,1011,71.91%,554,145,699
"County School Trustee, Position 1, Precinct 2",Totals;,184484,76731,261215,456516,124281,123768,248049
