Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0154,913,289,1202,2293,52.42%,208,890,19,20,1137
"Justice, Supreme Court, Place 5",0155,2275,576,2851,4065,70.14%,1705,981,54,15,2755
"Justice, Supreme Court, Place 5",0156,1415,403,1818,3223,56.41%,90,1623,27,20,1760
"Justice, Supreme Court, Place 5",0157,880,278,1158,2265,51.13%,56,1055,15,10,1136
"Justice, Supreme Court, Place 5",0158,1145,365,1510,3049,49.52%,42,1404,16,10,1472
"Justice, Supreme Court, Place 5",0159,350,147,497,997,49.85%,71,397,10,5,483
"Justice, Supreme Court, Place 5",0160,286,67,353,717,49.23%,12,320,7,4,343
"Justice, Supreme Court, Place 5",0161,378,173,551,992,55.54%,20,499,7,7,533
"Justice, Supreme Court, Place 5",0162,364,267,531,1312,48.09%,148,430,14,7,599
"Justice, Supreme Court, Place 5",0163,1083,524,1607,3075,52.26%,425,1015,28,21,1489
"Justice, Supreme Court, Place 5",0164,441,258,699,1407,49.68%,28,635,6,2,671
"Justice, Supreme Court, Place 5",0165,1172,469,1641,2460,66.71%,863,627,62,33,1585
"Justice, Supreme Court, Place 5",0166,563,261,824,1171,70.37%,244,496,37,13,790
"Justice, Supreme Court, Place 5",0167,5,2,7,24,29.17%,0,7,0,0,7
"Justice, Supreme Court, Place 5",0168,196,59,255,512,49.80%,4,241,4,1,250
"Justice, Supreme Court, Place 5",0169,985,247,1232,2548,48.35%,39,1132,15,16,1202
"Justice, Supreme Court, Place 5",0170,554,262,926,1958,47.29%,397,459,19,7,882
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Green,DEM Dori Contreras Garza,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 5",0171,482,283,765,1648,46.42%,42,685,7,4,738
"Justice, Supreme Court, Place 5",0172,245,103,348,661,52.65%,78,244,10,7,339
"Justice, Supreme Court, Place 5",0173,2262,883,2945,3966,74.26%,2092,658,95,20,2865
"Justice, Supreme Court, Place 5",0174,1718,707,2425,3389,71.56%,1491,745,74,18,2328
"Justice, Supreme Court, Place 5",0175,1403,691,2094,2711,77.24%,957,971,48,19,1995
"Justice, Supreme Court, Place 5",0176,767,375,1142,1533,74.49%,498,535,31,7,1071
"Justice, Supreme Court, Place 5",0177,943,333,1276,1715,74.40%,632,507,56,19,1214
"Justice, Supreme Court, Place 5",0178,1116,273,1389,1795,77.38%,853,416,47,13,1329
"Justice, Supreme Court, Place 5",0179,773,244,1017,1673,60.79%,440,480,35,17,972
"Justice, Supreme Court, Place 5",0180,930,463,1393,2914,47.80%,48,1257,19,17,1341
"Justice, Supreme Court, Place 5",0181,698,439,1137,2195,51.80%,233,835,15,13,1096
"Justice, Supreme Court, Place 5",0182,1952,994,2946,4071,72.37%,1470,1222,80,30,2802
"Justice, Supreme Court, Place 5",0183,1289,715,2004,2535,79.05%,1197,673,41,10,1921
"Justice, Supreme Court, Place 5",0184,278,219,497,1048,47.42%,115,340,8,9,472
"Justice, Supreme Court, Place 5",0185,709,444,1153,2054,56.13%,284,796,14,14,1108
"Justice, Supreme Court, Place 5",0186,252,150,402,798,50.38%,26,361,2,3,392
"Justice, Supreme Court, Place 5",0187,96,51,147,309,47.57%,23,109,3,3,138
"Justice, Supreme Court, Place 5",0188,499,306,805,1711,47.05%,238,517,13,12,780
"Justice, Supreme Court, Place 5",0189,805,279,1084,1505,72.03%,566,418,43,17,1044
"Justice, Supreme Court, Place 5",0190,571,326,897,1849,48.51%,238,579,19,23,859
"Justice, Supreme Court, Place 5",0191,327,259,586,1408,41.62%,156,390,15,9,570
"Justice, Supreme Court, Place 5",0192,757,259,1016,1959,51.86%,63,896,13,16,988
"Justice, Supreme Court, Place 5",0193,376,211,587,1099,53.41%,16,521,19,15,571
"Justice, Supreme Court, Place 5",0194,1144,449,1593,2172,73.34%,396,1034,64,32,1526
"Justice, Supreme Court, Place 5",0195,606,344,950,1739,54.63%,44,842,14,14,914
"Justice, Supreme Court, Place 5",0196,133,37,170,313,54.31%,13,141,3,5,162
