Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0193,376,211,587,1099,53.41%,31,534,565
"Chief Justice, 1st Court of Appeals",0194,1141,449,1590,2172,73.20%,472,1033,1505
"Chief Justice, 1st Court of Appeals",0195,606,344,950,1739,54.63%,49,853,902
"Chief Justice, 1st Court of Appeals",0196,132,37,169,313,53.99%,15,142,157
"Chief Justice, 1st Court of Appeals",0197,995,372,1368,2969,46.08%,67,1257,1324
"Chief Justice, 1st Court of Appeals",0198,161,82,243,619,39.26%,10,224,234
"Chief Justice, 1st Court of Appeals",0199,1929,815,2744,4063,67.54%,2034,609,2643
"Chief Justice, 1st Court of Appeals",0200,2308,377,2685,3692,72.72%,1276,1270,2546
"Chief Justice, 1st Court of Appeals",0201,222,105,327,773,42.30%,12,305,317
"Chief Justice, 1st Court of Appeals",0202,421,233,654,1410,46.38%,32,598,630
"Chief Justice, 1st Court of Appeals",0203,298,111,409,988,41.40%,68,315,383
"Chief Justice, 1st Court of Appeals",0204,2099,577,2676,3568,75.00%,1440,1085,2525
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sherry Radack,DEM Jim Peacock,Totals
"Chief Justice, 1st Court of Appeals",0205,772,171,943,1724,54.70%,26,890,916
"Chief Justice, 1st Court of Appeals",0206,1277,494,1771,2965,59.73%,537,1111,1648
"Chief Justice, 1st Court of Appeals",0207,605,212,817,1166,70.07%,263,505,768
"Chief Justice, 1st Court of Appeals",0208,909,338,1247,2256,55.27%,279,880,1159
"Chief Justice, 1st Court of Appeals",0209,0,0,0,0,0.00%,0,0,0
"Chief Justice, 1st Court of Appeals",0210,1261,489,1750,2781,62.93%,298,1384,1682
"Chief Justice, 1st Court of Appeals",0211,964,595,1559,3130,49.81%,427,1023,1450
"Chief Justice, 1st Court of Appeals",0212,309,323,632,1370,46.13%,101,484,585
"Chief Justice, 1st Court of Appeals",0213,1782,795,2577,3406,75.66%,2042,455,2497
"Chief Justice, 1st Court of Appeals",0214,1016,418,1434,1911,75.04%,861,484,1345
"Chief Justice, 1st Court of Appeals",0215,1097,636,1733,2286,75.81%,1023,617,1640
"Chief Justice, 1st Court of Appeals",0216,778,244,1022,1966,51.98%,71,910,981
"Chief Justice, 1st Court of Appeals",0217,1545,618,2163,2736,79.06%,1443,636,2079
"Chief Justice, 1st Court of Appeals",0218,1100,457,1557,2467,63.11%,401,1042,1443
"Chief Justice, 1st Court of Appeals",0219,1118,515,1633,2868,56.94%,159,1391,1550
"Chief Justice, 1st Court of Appeals",0220,833,306,1139,2362,48.22%,713,369,1082
"Chief Justice, 1st Court of Appeals",0221,1032,473,1505,2598,57.93%,480,936,1416
"Chief Justice, 1st Court of Appeals",0222,1460,671,2131,2728,78.12%,1074,939,2013
"Chief Justice, 1st Court of Appeals",0223,1751,517,2268,3664,61.90%,607,1538,2145
"Chief Justice, 1st Court of Appeals",0224,1155,495,1551,2313,71.81%,782,782,1564
"Chief Justice, 1st Court of Appeals",0225,1353,596,1949,3689,52.83%,814,1058,1872
"Chief Justice, 1st Court of Appeals",0226,840,421,1261,2554,49.37%,244,958,1202
"Chief Justice, 1st Court of Appeals",0227,1071,359,1430,1810,79.01%,1108,271,1379
"Chief Justice, 1st Court of Appeals",0228,625,159,784,1175,66.72%,46,725,771
"Chief Justice, 1st Court of Appeals",0229,227,168,395,828,47.71%,100,267,367
"Chief Justice, 1st Court of Appeals",0230,353,185,518,1094,47.35%,22,475,497
"Chief Justice, 1st Court of Appeals",0231,801,445,1246,2376,52.44%,259,920,1179
"Chief Justice, 1st Court of Appeals",0232,941,438,1379,1826,75.52%,774,523,1297
"Chief Justice, 1st Court of Appeals",0233,2575,703,3278,4713,69.55%,1542,1548,3090
"Chief Justice, 1st Court of Appeals",0234,2421,728,3149,4042,77.91%,2374,654,3028
"Chief Justice, 1st Court of Appeals",0235,461,203,664,1421,46.73%,31,603,634
"Chief Justice, 1st Court of Appeals",0236,555,308,964,2104,45.82%,53,879,932
"Chief Justice, 1st Court of Appeals",0237,739,312,1051,2146,48.97%,27,994,1021
