Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0258,1948,608,2555,3346,76.39%,1790,629,2419
"District Judge, 11th Judicial District",0259,1030,414,1444,2312,62.46%,46,1362,1408
"District Judge, 11th Judicial District",0260,547,227,774,1300,59.54%,371,360,731
"District Judge, 11th Judicial District",0261,442,531,973,1457,66.78%,268,651,919
"District Judge, 11th Judicial District",0262,1847,676,2523,4397,57.38%,1306,1072,2378
"District Judge, 11th Judicial District",0263,2208,665,2873,4016,71.54%,1996,746,2742
"District Judge, 11th Judicial District",0264,1110,627,1737,3101,56.01%,850,787,1637
"District Judge, 11th Judicial District",0265,1991,608,2599,3582,72.56%,1797,649,2446
"District Judge, 11th Judicial District",0266,737,443,1180,2147,54.96%,426,693,1119
"District Judge, 11th Judicial District",0267,421,293,714,1433,49.83%,253,418,671
"District Judge, 11th Judicial District",0268,1174,689,1863,2528,73.69%,989,735,1724
"District Judge, 11th Judicial District",0269,1305,365,1670,2114,79.00%,1210,367,1577
"District Judge, 11th Judicial District",0270,1816,688,2504,3985,62.84%,1195,1161,2356
"District Judge, 11th Judicial District",0271,1150,346,1496,2558,58.48%,44,1422,1466
"District Judge, 11th Judicial District",0272,870,415,1285,2334,55.06%,431,786,1217
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Fulton,DEM Kristen Hawkins,Totals
"District Judge, 11th Judicial District",0273,1175,647,1822,2485,73.32%,1385,373,1758
"District Judge, 11th Judicial District",0274,1251,311,1572,2223,70.72%,934,541,1475
"District Judge, 11th Judicial District",0275,585,334,919,2059,44.63%,150,731,881
"District Judge, 11th Judicial District",0276,1027,255,1282,2458,52.16%,30,1227,1257
"District Judge, 11th Judicial District",0277,573,338,911,1898,48.00%,310,562,872
"District Judge, 11th Judicial District",0278,1059,469,1528,2602,58.72%,630,811,1441
"District Judge, 11th Judicial District",0279,789,314,1103,2073,53.21%,596,456,1052
"District Judge, 11th Judicial District",0280,444,362,806,1656,48.67%,212,547,759
"District Judge, 11th Judicial District",0281,1287,590,1877,2507,74.87%,835,877,1712
"District Judge, 11th Judicial District",0282,773,604,1377,2144,64.23%,752,559,1311
"District Judge, 11th Judicial District",0283,2351,1143,3494,6365,54.89%,498,2874,3372
"District Judge, 11th Judicial District",0284,1585,574,2159,4079,52.93%,691,1357,2048
"District Judge, 11th Judicial District",0285,1077,431,1508,2680,56.27%,121,1337,1458
"District Judge, 11th Judicial District",0286,1708,545,2253,3757,59.97%,208,1972,2180
"District Judge, 11th Judicial District",0287,851,408,1259,1658,75.93%,578,610,1188
"District Judge, 11th Judicial District",0288,881,314,1195,2208,54.12%,32,1134,1166
"District Judge, 11th Judicial District",0289,481,352,833,1584,52.59%,287,487,774
"District Judge, 11th Judicial District",0290,705,332,1037,1623,63.89%,739,266,1005
"District Judge, 11th Judicial District",0291,503,233,836,1218,68.64%,352,439,791
"District Judge, 11th Judicial District",0292,549,178,727,1379,52.72%,87,614,701
"District Judge, 11th Judicial District",0293,778,475,1253,1811,69.19%,511,659,1170
"District Judge, 11th Judicial District",0294,852,198,1050,2054,51.12%,21,1011,1032
"District Judge, 11th Judicial District",0295,270,111,381,894,42.62%,12,360,372
"District Judge, 11th Judicial District",0296,701,385,1086,1705,63.70%,535,471,1006
"District Judge, 11th Judicial District",0297,729,341,1070,2055,52.07%,366,649,1015
"District Judge, 11th Judicial District",0298,1095,387,1482,2236,66.28%,716,702,1418
"District Judge, 11th Judicial District",0299,499,236,735,1506,48.80%,219,467,686
"District Judge, 11th Judicial District",0300,3385,728,4113,5480,75.05%,3033,918,3951
"District Judge, 11th Judicial District",0301,737,392,1129,2337,48.31%,380,690,1070
"District Judge, 11th Judicial District",0302,1197,591,1788,3277,54.56%,867,842,1709
"District Judge, 11th Judicial District",0303,1896,692,2588,3375,76.68%,1905,570,2475
"District Judge, 11th Judicial District",0304,1190,474,1664,2326,71.54%,891,661,1552
"District Judge, 11th Judicial District",0305,2154,645,2799,4838,57.85%,878,1799,2677
"District Judge, 11th Judicial District",0306,1095,299,1395,1896,73.58%,968,344,1312
