Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Will Archer,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0277,573,338,911,1898,48.00%,311,565,876
"District Judge, 80th Judicial District",0278,1059,469,1528,2602,58.72%,625,814,1439
"District Judge, 80th Judicial District",0279,789,314,1103,2073,53.21%,613,442,1055
"District Judge, 80th Judicial District",0280,444,362,806,1656,48.67%,226,533,759
"District Judge, 80th Judicial District",0281,1287,590,1877,2507,74.87%,743,982,1725
"District Judge, 80th Judicial District",0282,773,604,1377,2144,64.23%,734,577,1311
"District Judge, 80th Judicial District",0283,2351,1143,3494,6365,54.89%,493,2871,3364
"District Judge, 80th Judicial District",0284,1585,574,2159,4079,52.93%,692,1360,2052
"District Judge, 80th Judicial District",0285,1077,431,1508,2680,56.27%,119,1337,1456
"District Judge, 80th Judicial District",0286,1708,545,2253,3757,59.97%,183,1995,2178
"District Judge, 80th Judicial District",0287,851,408,1259,1658,75.93%,558,626,1184
"District Judge, 80th Judicial District",0288,881,314,1195,2208,54.12%,31,1132,1163
"District Judge, 80th Judicial District",0289,481,352,833,1584,52.59%,294,479,773
"District Judge, 80th Judicial District",0290,705,332,1037,1623,63.89%,743,261,1004
"District Judge, 80th Judicial District",0291,603,233,836,1218,68.64%,333,454,787
"District Judge, 80th Judicial District",0292,549,178,727,1379,52.72%,87,612,699
"District Judge, 80th Judicial District",0293,778,475,1253,1811,69.19%,496,676,1172
"District Judge, 80th Judicial District",0294,852,198,1050,2054,51.12%,16,1016,1032
"District Judge, 80th Judicial District",0295,270,111,381,894,42.62%,11,360,371
"District Judge, 80th Judicial District",0296,701,385,1086,1705,63.70%,527,483,1010
"District Judge, 80th Judicial District",0297,729,341,1070,2055,52.07%,355,658,1013
"District Judge, 80th Judicial District",0298,1095,387,1482,2236,66.28%,718,700,1418
"District Judge, 80th Judicial District",0299,499,236,735,1506,48.80%,227,461,688
"District Judge, 80th Judicial District",0300,3385,728,4113,5480,75.05%,3020,930,3950
"District Judge, 80th Judicial District",0301,737,392,1129,2337,48.31%,379,689,1068
"District Judge, 80th Judicial District",0302,1197,591,1788,3277,54.56%,869,840,1709
"District Judge, 80th Judicial District",0303,1896,692,2588,3375,76.68%,1762,715,2477
"District Judge, 80th Judicial District",0304,1190,474,1664,2326,71.54%,824,729,1553
"District Judge, 80th Judicial District",0305,2154,645,2799,4838,57.85%,885,1791,2676
