Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0244,1412,538,1950,3296,59.16%,911,889,60,21,1881
"Justice, Supreme Court, Place 9",0245,2103,811,2914,4679,62.28%,1773,907,109,30,2819
"Justice, Supreme Court, Place 9",0246,2214,482,2696,3971,67.89%,1636,885,65,24,2610
"Justice, Supreme Court, Place 9",0247,441,376,817,1595,51.22%,23,759,12,11,805
"Justice, Supreme Court, Place 9",0248,454,347,801,2147,37.31%,190,556,13,9,768
"Justice, Supreme Court, Place 9",0249,1127,365,1492,2825,52.81%,906,495,42,23,1466
"Justice, Supreme Court, Place 9",0250,288,183,471,925,50.92%,20,438,2,4,464
"Justice, Supreme Court, Place 9",0251,806,378,1184,2132,55.53%,64,1060,9,8,1141
"Justice, Supreme Court, Place 9",0252,927,309,1236,2292,53.93%,26,1159,6,10,1201
"Justice, Supreme Court, Place 9",0253,760,311,1071,2154,49.72%,34,1004,9,5,1052
"Justice, Supreme Court, Place 9",0254,411,280,691,1675,41.25%,163,476,11,12,662
"Justice, Supreme Court, Place 9",0255,1257,586,1843,2489,74.05%,836,844,55,24,1759
"Justice, Supreme Court, Place 9",0256,1398,583,1981,3321,59.65%,696,1127,36,38,1897
"Justice, Supreme Court, Place 9",0257,999,622,1621,3497,46.35%,398,1110,27,27,1562
"Justice, Supreme Court, Place 9",0258,1948,608,2556,3346,76.39%,1838,536,79,22,2475
"Justice, Supreme Court, Place 9",0259,1031,414,1445,2312,62.50%,35,1351,14,6,1406
"Justice, Supreme Court, Place 9",0260,548,227,775,1300,59.62%,373,345,17,10,745
"Justice, Supreme Court, Place 9",0261,442,531,973,1457,66.78%,295,610,17,6,928
"Justice, Supreme Court, Place 9",0262,1849,676,2525,4397,57.43%,1339,970,86,31,2426
"Justice, Supreme Court, Place 9",0263,2212,665,2877,4016,71.64%,1984,708,62,24,2778
"Justice, Supreme Court, Place 9",0264,1114,627,1741,3101,56.14%,858,709,63,30,1660
"Justice, Supreme Court, Place 9",0265,1995,608,2603,3582,72.67%,1838,574,65,25,2502
"Justice, Supreme Court, Place 9",0266,737,443,1180,2147,54.96%,446,640,26,18,1130
"Justice, Supreme Court, Place 9",0267,421,293,714,1433,49.83%,263,392,17,12,684
"Justice, Supreme Court, Place 9",0268,1178,689,1867,2528,73.85%,1094,629,48,16,1787
