Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Republican Party,DEM Democratic Party,LIB Libertarian Party,GRN Green Party,Totals
Straight Party,0319,996,271,1267,2199,57.62%,43,896,5,4,948
Straight Party,0320,557,238,795,1570,50.64%,173,354,6,3,536
Straight Party,0321,867,363,1230,2483,49.54%,208,618,5,10,841
Straight Party,0322,426,124,550,1210,45.45%,105,266,5,1,377
Straight Party,0323,702,296,998,1793,55.66%,195,390,8,2,595
Straight Party,0324,1454,560,2014,2607,77.25%,692,357,13,4,1066
Straight Party,0325,804,257,1061,2176,48.76%,105,621,4,4,734
Straight Party,0326,271,129,400,736,54.35%,85,168,0,1,254
Straight Party,0327,740,141,881,1758,50.11%,11,646,0,4,661
Straight Party,0328,425,286,711,1631,43.59%,144,362,5,5,516
Straight Party,0329,592,260,852,1621,52.56%,141,391,5,2,539
Straight Party,0330,865,326,1191,2146,55.50%,334,453,12,6,805
Straight Party,0331,889,234,1123,1612,69.67%,484,269,12,2,767
Straight Party,0332,1350,503,1863,2926,63.67%,110,1270,5,10,1395
Straight Party,0333,1392,942,2334,3296,70.81%,1137,380,23,9,1549
Straight Party,0334,247,104,351,786,44.66%,43,222,3,1,269
Straight Party,0335,494,293,787,1679,46.87%,130,439,5,5,579
Straight Party,0336,2496,689,3185,4771,66.76%,183,2094,11,8,2296
Straight Party,0337,371,155,526,1108,47.47%,47,332,0,1,380
Straight Party,0338,1628,632,2260,5001,45.19%,400,1321,22,12,1755
Straight Party,0339,705,303,1008,1909,52.80%,99,548,7,1,655
Straight Party,0340,2049,654,2703,4012,67.37%,1317,431,20,4,1772
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Republican Party,DEM Democratic Party,LIB Libertarian Party,GRN Green Party,Totals
Straight Party,0341,380,278,658,1372,47.96%,82,367,5,0,454
Straight Party,0342,312,225,537,1092,49.18%,79,297,3,4,383
Straight Party,0343,725,370,1095,2099,52.17%,120,631,5,11,767
Straight Party,0344,381,207,588,1225,48.00%,12,440,2,1,455
Straight Party,0345,582,349,931,1945,47.87%,105,547,13,4,669
Straight Party,0346,1,0,1,1,100.00%,0,0,0,0,0
Straight Party,0347,1463,618,2081,3614,57.58%,828,602,16,9,1455
Straight Party,0348,833,242,1075,1796,59.86%,528,221,14,1,764
Straight Party,0349,459,369,828,1372,60.35%,316,203,3,4,526
