Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0272,870,415,1285,2334,55.06%,458,771,1229
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0273,1175,647,1822,2485,73.32%,1424,344,1768
County Tax Assessor-Collector,0274,1251,311,1572,2223,70.72%,993,513,1506
County Tax Assessor-Collector,0275,585,334,919,2059,44.63%,177,715,892
County Tax Assessor-Collector,0276,1027,255,1282,2458,52.16%,35,1222,1257
County Tax Assessor-Collector,0277,573,338,911,1898,48.00%,336,549,885
County Tax Assessor-Collector,0278,1059,469,1528,2602,58.72%,675,792,1467
County Tax Assessor-Collector,0279,789,314,1103,2073,53.21%,633,430,1063
County Tax Assessor-Collector,0280,444,362,806,1656,48.67%,245,521,766
County Tax Assessor-Collector,0281,1287,590,1877,2507,74.87%,948,844,1792
County Tax Assessor-Collector,0282,773,604,1377,2144,64.23%,793,535,1328
County Tax Assessor-Collector,0283,2351,1143,3494,6365,54.89%,556,2836,3392
County Tax Assessor-Collector,0284,1585,574,2159,4079,52.93%,758,1312,2070
County Tax Assessor-Collector,0285,1077,431,1508,2680,56.27%,133,1331,1464
County Tax Assessor-Collector,0286,1708,545,2253,3757,59.97%,235,1971,2206
County Tax Assessor-Collector,0287,851,408,1259,1658,75.93%,619,590,1209
County Tax Assessor-Collector,0288,881,314,1195,2208,54.12%,39,1134,1173
County Tax Assessor-Collector,0289,481,352,833,1584,52.59%,322,465,787
County Tax Assessor-Collector,0290,705,332,1037,1623,63.89%,770,242,1012
County Tax Assessor-Collector,0291,503,233,836,1218,68.64%,372,431,803
County Tax Assessor-Collector,0292,549,178,727,1379,52.72%,98,604,702
County Tax Assessor-Collector,0293,778,475,1253,1811,69.19%,555,635,1190
County Tax Assessor-Collector,0294,852,198,1050,2054,51.12%,21,1013,1034
County Tax Assessor-Collector,0295,270,111,381,894,42.62%,15,361,376
County Tax Assessor-Collector,0296,701,385,1086,1705,63.70%,574,456,1030
County Tax Assessor-Collector,0297,729,341,1070,2055,52.07%,385,642,1027
County Tax Assessor-Collector,0298,1095,387,1482,2236,66.28%,755,671,1426
County Tax Assessor-Collector,0299,499,236,735,1506,48.80%,243,456,699
County Tax Assessor-Collector,0300,3385,728,4113,5480,75.05%,3112,875,3987
County Tax Assessor-Collector,0301,737,392,1129,2337,48.31%,408,670,1078
County Tax Assessor-Collector,0302,1197,591,1788,3277,54.56%,929,803,1732
County Tax Assessor-Collector,0303,1896,692,2588,3375,76.68%,1977,523,2500
County Tax Assessor-Collector,0304,1190,474,1664,2326,71.54%,937,650,1587
County Tax Assessor-Collector,0305,2154,545,2799,4838,57.85%,956,1752,2708
County Tax Assessor-Collector,0306,1095,299,1395,1896,73.58%,985,369,1354
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0307,1456,801,2257,3270,69.02%,1506,655,2161
County Tax Assessor-Collector,0308,526,225,751,1457,51.54%,201,502,703
County Tax Assessor-Collector,0309,2160,591,2751,3495,78.71%,2132,537,2669
County Tax Assessor-Collector,0310,709,326,1035,1464,70.70%,643,350,993
County Tax Assessor-Collector,0311,930,643,1573,3222,48.82%,727,757,1484
County Tax Assessor-Collector,0312,1705,552,2257,3724,60.61%,1187,977,2164
County Tax Assessor-Collector,0313,23,8,31,61,50.82%,17,8,25
County Tax Assessor-Collector,0314,2997,817,3814,5606,68.03%,2224,1496,3720
County Tax Assessor-Collector,0315,801,353,1154,1636,70.54%,686,433,1119
County Tax Assessor-Collector,0316,739,340,1079,1513,71.32%,613,430,1043
County Tax Assessor-Collector,0317,593,252,845,1661,50.87%,236,571,807
County Tax Assessor-Collector,0318,1726,529,2255,3776,59.72%,185,2013,2198
County Tax Assessor-Collector,0319,994,271,1265,2199,57.53%,97,1138,1235
County Tax Assessor-Collector,0320,554,238,792,1570,50.45%,302,454,756
County Tax Assessor-Collector,0321,867,363,1230,2483,49.54%,376,774,1150
County Tax Assessor-Collector,0322,426,124,550,1210,45.45%,173,363,536
County Tax Assessor-Collector,0323,700,296,996,1793,55.55%,394,564,958
County Tax Assessor-Collector,0324,1444,560,2004,2607,76.87%,1275,665,1940
County Tax Assessor-Collector,0325,802,257,1059,2176,48.67%,225,791,1016
County Tax Assessor-Collector,0326,271,129,400,736,54.35%,157,223,380
County Tax Assessor-Collector,0327,738,141,879,1758,50.00%,33,826,859
County Tax Assessor-Collector,0328,425,286,711,1631,43.59%,232,445,677
County Tax Assessor-Collector,0329,589,260,849,1621,52.38%,287,527,814
County Tax Assessor-Collector,0330,863,326,1189,2146,55.41%,563,582,1145
County Tax Assessor-Collector,0331,884,234,1118,1612,69.35%,702,372,1074
County Tax Assessor-Collector,0332,1355,503,1858,2926,63.50%,246,1545,1791
County Tax Assessor-Collector,0333,1385,942,2327,3296,70.60%,1647,587,2234
County Tax Assessor-Collector,0334,246,104,350,786,44.53%,66,272,338
County Tax Assessor-Collector,0335,489,293,782,1679,46.58%,217,520,737
County Tax Assessor-Collector,0336,2489,689,3178,4771,66.61%,377,2726,3103
County Tax Assessor-Collector,0337,367,155,522,1108,47.11%,87,409,496
