Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0259,1030,414,1444,2312,62.46%,33,1370,1403
"Justice, 1st Court of Appeals District, Place 4",0260,547,227,774,1300,59.54%,370,362,732
"Justice, 1st Court of Appeals District, Place 4",0261,442,531,973,1457,66.78%,257,655,912
"Justice, 1st Court of Appeals District, Place 4",0262,1847,676,2523,4397,57.38%,1293,1095,2388
"Justice, 1st Court of Appeals District, Place 4",0263,2208,665,2873,4016,71.54%,1987,759,2746
"Justice, 1st Court of Appeals District, Place 4",0264,1112,627,1739,3101,56.08%,863,781,1644
"Justice, 1st Court of Appeals District, Place 4",0265,1992,608,2600,3582,72.59%,1769,683,2452
"Justice, 1st Court of Appeals District, Place 4",0266,737,443,1180,2147,54.96%,420,698,1118
"Justice, 1st Court of Appeals District, Place 4",0267,421,293,714,1433,49.83%,251,422,673
"Justice, 1st Court of Appeals District, Place 4",0268,1175,689,1864,2528,73.73%,1000,732,1732
"Justice, 1st Court of Appeals District, Place 4",0269,1306,365,1671,2114,79.04%,1215,369,1584
"Justice, 1st Court of Appeals District, Place 4",0270,1816,688,2504,3985,62.84%,1188,1168,2356
"Justice, 1st Court of Appeals District, Place 4",0271,1150,346,1496,2558,58.48%,35,1432,1467
"Justice, 1st Court of Appeals District, Place 4",0272,871,415,1286,2334,55.10%,433,785,1218
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Evelyn Keyes,DEM Barbara Gardner,Totals
"Justice, 1st Court of Appeals District, Place 4",0273,1175,647,1822,2485,73.32%,1375,385,1760
"Justice, 1st Court of Appeals District, Place 4",0274,1253,311,1574,2223,70.81%,945,536,1481
