Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0371,210,78,288,537,53.63%,19,264,283
District Attorney,0372,509,180,689,1274,54.08%,77,589,666
District Attorney,0373,61,13,74,163,45.40%,2,67,69
District Attorney,0374,176,165,341,720,47.36%,83,245,328
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Devon Anderson,DEM Kim Ogg,Totals
District Attorney,0375,745,510,1255,2836,44.25%,419,770,1189
District Attorney,0376,753,344,1097,2060,53.25%,378,667,1045
District Attorney,0377,1381,643,2024,3137,64.52%,1427,537,1964
District Attorney,0378,621,447,1068,1856,57.54%,619,419,1038
District Attorney,0379,857,388,1245,2149,57.93%,118,1095,1213
District Attorney,0380,2732,551,3283,4380,74.95%,1629,1558,3187
District Attorney,0381,1185,432,1517,3141,51.48%,586,965,1551
District Attorney,0382,429,206,635,1035,61.35%,361,251,612
District Attorney,0383,722,458,1180,2373,49.73%,328,793,1121
District Attorney,0384,1152,444,1596,2725,58.57%,356,1191,1547
District Attorney,0385,1141,561,1702,2207,77.12%,1201,441,1642
District Attorney,0386,1658,419,2077,3105,66.89%,1408,623,2031
District Attorney,0387,1702,780,2482,4340,57.19%,1552,852,2404
District Attorney,0388,2899,711,3510,5413,66.69%,1661,1823,3484
District Attorney,0389,397,293,690,1359,50.77%,86,566,652
District Attorney,0390,698,271,969,1482,65.38%,134,808,942
District Attorney,0391,986,336,1322,1978,66.84%,717,555,1272
District Attorney,0392,652,145,797,1426,55.89%,25,752,777
District Attorney,0393,427,257,684,1274,53.69%,295,360,655
District Attorney,0394,236,126,362,914,39.61%,116,228,344
District Attorney,0395,1007,371,1378,1875,73.49%,861,476,1337
District Attorney,0396,1035,204,1239,2072,59.80%,35,1173,1208
District Attorney,0397,204,117,321,796,40.33%,109,194,303
District Attorney,0398,1761,654,2415,4200,57.50%,1028,1296,2324
District Attorney,0399,1291,546,1837,3340,55.00%,658,1125,1783
District Attorney,0400,1457,372,1839,2661,69.11%,1124,653,1777
District Attorney,0401,703,257,960,1971,48.71%,53,871,924
District Attorney,0402,897,262,1159,1911,60.65%,80,1051,1131
District Attorney,0403,959,387,1346,1719,78.30%,636,650,1286
District Attorney,0404,1033,445,1478,2717,54.40%,668,764,1432
District Attorney,0405,1910,457,2367,3067,77.18%,1714,609,2323
District Attorney,0406,275,65,340,649,52.39%,9,320,329
District Attorney,0407,1703,860,2563,3969,64.58%,1424,1026,2450
District Attorney,0408,520,313,833,1740,47.87%,247,541,788
