Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Rodney Ellis,Totals
"County Commissioner, Precinct 1",0629,162,96,258,750,34.40%,226,226
"County Commissioner, Precinct 1",0630,2662,541,3203,4738,67.60%,2925,2925
"County Commissioner, Precinct 1",0632,4,1,5,241,2.07%,5,5
"County Commissioner, Precinct 1",0638,850,348,1198,2310,51.86%,1110,1110
"County Commissioner, Precinct 1",0649,1549,775,2324,4755,48.87%,1778,1778
"County Commissioner, Precinct 1",0652,1165,545,1710,2979,57.40%,1479,1479
"County Commissioner, Precinct 1",0653,185,110,295,604,48.84%,232,232
"County Commissioner, Precinct 1",0654,2381,698,3079,5063,60.81%,1800,1800
"County Commissioner, Precinct 1",0655,1959,761,2720,4495,60.51%,1467,1467
"County Commissioner, Precinct 1",0656,1105,401,1507,2737,55.06%,1428,1428
"County Commissioner, Precinct 1",0657,683,276,959,1487,64.49%,663,663
"County Commissioner, Precinct 1",0660,1575,345,1920,3087,62.20%,1743,1743
"County Commissioner, Precinct 1",0678,1164,294,1458,2660,54.81%,1302,1302
"County Commissioner, Precinct 1",0680,98,17,115,179,64.25%,85,85
"County Commissioner, Precinct 1",0681,6,0,6,4,150.00%,3,3
"County Commissioner, Precinct 1",0693,309,110,419,681,61.53%,320,320
"County Commissioner, Precinct 1",0702,183,69,252,550,45.82%,218,218
"County Commissioner, Precinct 1",0705,331,206,537,1513,35.49%,489,489
"County Commissioner, Precinct 1",0722,1929,609,2538,4638,54.72%,2356,2356
"County Commissioner, Precinct 1",0723,897,261,1158,1959,59.11%,951,951
"County Commissioner, Precinct 1",0729,235,49,284,471,60.30%,150,150
"County Commissioner, Precinct 1",0733,55,25,80,303,26.40%,61,61
"County Commissioner, Precinct 1",0738,435,214,649,1497,43.35%,552,552
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Rodney Ellis,Totals
"County Commissioner, Precinct 1",0741,923,262,1185,1895,62.53%,927,927
"County Commissioner, Precinct 1",0742,1532,498,2030,2859,71.00%,952,952
"County Commissioner, Precinct 1",0743,54,60,114,234,48.72%,76,76
"County Commissioner, Precinct 1",0754,386,262,648,1590,40.75%,610,610
"County Commissioner, Precinct 1",0757,1867,601,2468,4792,51.50%,2126,2126
"County Commissioner, Precinct 1",0762,924,303,1227,1828,67.12%,782,782
"County Commissioner, Precinct 1",0767,31,15,46,92,50.00%,30,30
"County Commissioner, Precinct 1",0774,150,66,216,426,50.70%,175,175
