Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Gommels,DEM Kelli Johnson,Totals
"District Judge, 178th Judicial District",0239,694,334,1028,1984,51.81,%,33,973,1006
"District Judge, 178th Judicial District",0240,1007,292,1299,2601,49.94%,27,1237,1264
"District Judge, 178th Judicial District",0241,651,383,1034,2466,41.93%,312,674,986
"District Judge, 178th Judicial District",0242,506,314,820,1744,47.02%,341,420,761
"District Judge, 178th Judicial District",0243,244,42,286,475,60.21%,4,278,282
"District Judge, 178th Judicial District",0244,1409,538,1947,3296,59.07%,869,986,1855
"District Judge, 178th Judicial District",0245,2100,811,2911,4679,62.21%,1743,1008,2751
"District Judge, 178th Judicial District",0246,2209,482,2691,3971,67.77%,1601,981,2582
"District Judge, 178th Judicial District",0247,440,376,816,1595,51.16%,22,777,799
"District Judge, 178th Judicial District",0248,453,347,800,2147,37.26%,171,578,749
"District Judge, 178th Judicial District",0249,1124,365,1489,2825,52.71%,901,540,1441
"District Judge, 178th Judicial District",0250,288,183,471,925,50.92%,19,442,461
"District Judge, 178th Judicial District",0251,806,378,1184,2132,55.53%,60,1080,1140
"District Judge, 178th Judicial District",0252,925,309,1235,2292,53.88%,22,1180,1202
"District Judge, 178th Judicial District",0253,759,311,1070,2154,49.68%,25,1020,1045
"District Judge, 178th Judicial District",0254,411,280,691,1675,41.25%,134,517,651
"District Judge, 178th Judicial District",0255,1253,586,1839,2489,73.89%,710,992,1702
"District Judge, 178th Judicial District",0256,1398,583,1981,3321,59.65%,615,1244,1859
"District Judge, 178th Judicial District",0257,997,622,1619,3497,46.30%,348,1200,1548
"District Judge, 178th Judicial District",0258,1948,608,2556,3346,76.39%,1696,710,2406
"District Judge, 178th Judicial District",0259,1030,414,1444,2312,62.46%,26,1376,1402
"District Judge, 178th Judicial District",0260,547,227,774,1300,59.54%,359,369,728
"District Judge, 178th Judicial District",0261,442,531,973,1457,66.78%,249,662,911
"District Judge, 178th Judicial District",0262,1847,676,2523,4397,57.38%,1251,1126,2377
"District Judge, 178th Judicial District",0263,2208,665,2873,4016,71.54%,1944,790,2734
"District Judge, 178th Judicial District",0264,1110,627,1737,3101,56.01%,820,812,1632
"District Judge, 178th Judicial District",0265,1991,608,2599,3582,72.56%,1660,772,2432
"District Judge, 178th Judicial District",0266,737,443,1180,2147,54.96%,398,713,1111
"District Judge, 178th Judicial District",0267,421,293,714,1433,49.83%,245,428,673
"District Judge, 178th Judicial District",0268,1174,689,1863,2528,73.69%,917,785,1702
"District Judge, 178th Judicial District",0269,1305,365,1670,2114,79.00%,1100,467,1567
"District Judge, 178th Judicial District",0270,1816,688,2504,3985,62.84%,1138,1199,2337
"District Judge, 178th Judicial District",0271,1150,346,1496,2558,58.48%,27,1435,1462
"District Judge, 178th Judicial District",0272,870,415,1285,2334,55.06%,415,801,1216
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Gommels,DEM Kelli Johnson,Totals
"District Judge, 178th Judicial District",0273,1175,647,1822,2485,73.32%,1287,455,1742
"District Judge, 178th Judicial District",0274,1261,311,1572,2223,70.72%,873,594,1467
"District Judge, 178th Judicial District",0275,585,334,919,2059,44.63%,141,742,883
"District Judge, 178th Judicial District",0276,1027,255,1282,2458,52.16%,21,1230,1251
"District Judge, 178th Judicial District",0277,573,338,911,1898,48.00%,301,570,871
"District Judge, 178th Judicial District",0278,1059,469,1528,2602,58.72%,610,828,1438
"District Judge, 178th Judicial District",0279,789,314,1103,2073,53.21%,587,464,1051
"District Judge, 178th Judicial District",0280,444,362,806,1656,48.67%,203,551,754
"District Judge, 178th Judicial District",0281,1287,590,1877,2507,74.87%,741,971,1712
"District Judge, 178th Judicial District",0282,773,604,1377,2144,64.23%,722,580,1302
"District Judge, 178th Judicial District",0283,2351,1143,3494,6365,54.89%,447,2912,3359
"District Judge, 178th Judicial District",0284,1585,574,2159,4079,52.93%,672,1369,2041
"District Judge, 178th Judicial District",0285,1077,431,1508,2680,56.27%,108,1349,1457
"District Judge, 178th Judicial District",0286,1708,545,2253,3757,59.97%,178,1996,2174
"District Judge, 178th Judicial District",0287,851,408,1259,1658,75.93%,541,637,1178
"District Judge, 178th Judicial District",0288,881,314,1195,2208,54.12%,22,1139,1161
"District Judge, 178th Judicial District",0289,481,352,833,1584,52.59%,290,481,771
"District Judge, 178th Judicial District",0290,705,332,1037,1623,63.89%,731,269,1000
"District Judge, 178th Judicial District",0291,603,233,836,1218,68.64%,322,470,792
"District Judge, 178th Judicial District",0292,549,178,727,1379,52.72%,75,626,701
"District Judge, 178th Judicial District",0293,778,475,1253,1811,69.19%,484,683,1167
"District Judge, 178th Judicial District",0294,852,198,1050,2054,51.12%,10,1020,1030
"District Judge, 178th Judicial District",0295,270,111,381,894,42.62%,9,362,371
"District Judge, 178th Judicial District",0296,701,385,1086,1705,63.70%,515,492,1007
"District Judge, 178th Judicial District",0297,729,341,1070,2055,52.07%,344,664,1008
"District Judge, 178th Judicial District",0298,1095,387,1482,2236,66.28%,688,717,1405
"District Judge, 178th Judicial District",0299,499,236,735,1506,48.80%,215,470,685
"District Judge, 178th Judicial District",0300,3385,728,4113,5480,75.05%,2964,960,3924
"District Judge, 178th Judicial District",0301,737,392,1129,2337,48.31%,359,708,1067
"District Judge, 178th Judicial District",0302,1197,591,1788,3277,54.56%,848,857,1705
"District Judge, 178th Judicial District",0303,1896,692,2588,3375,76.68%,1752,714,2466
"District Judge, 178th Judicial District",0304,1190,474,1664,2326,71.54%,805,738,1543
"District Judge, 178th Judicial District",0305,2154,645,2799,4838,57.85%,853,1816,2669
"District Judge, 178th Judicial District",0306,1096,299,1395,1896,73.58%,899,405,1304
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Gommels,DEM Kelli Johnson,Totals
"District Judge, 178th Judicial District",0307,1456,801,2257,3270,69.02%,1395,724,2119
"District Judge, 178th Judicial District",0308,526,225,751,1457,51,54%,169,530,699
"District Judge, 178th Judicial District",0309,2160,591,2751,3495,78.71%,1900,705,2605
"District Judge, 178th Judicial District",0310,709,326,1035,1464,70.70%,585,379,964
"District Judge, 178th Judicial District",0311,930,643,1573,3222,48.82%,672,781,1453
"District Judge, 178th Judicial District",0312,1705,552,2257,3724,60.61%,1074,1052,2126
"District Judge, 178th Judicial District",0313,23,8,31,61,50.82%,15,9,24
"District Judge, 178th Judicial District",0314,2997,817,3814,5606,68.03%,2079,1585,3664
"District Judge, 178th Judicial District",0315,801,353,1154,1636,70.54%,589,486,1075
"District Judge, 178th Judicial District",0316,739,340,1079,1513,71.32%,494,500,994
"District Judge, 178th Judicial District",0317,593,252,845,1661,50.87%,196,600,796
"District Judge, 178th Judicial District",0318,1726,529,2255,3776,59.72%,118,2058,2176
"District Judge, 178th Judicial District",0319,994,271,1265,2199,57.53%,66,1158,1224
"District Judge, 178th Judicial District",0320,554,238,792,1570,50.45%,261,481,742
"District Judge, 178th Judicial District",0321,857,363,1230,2483,49.54%,317,811,1128
