Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0221,1032,473,1505,2598,57.93%,441,862,41,86,1430
Railroad Commissioner,0222,1461,671,2132,2728,78.15%,860,817,331,30,2038
Railroad Commissioner,0223,1766,517,2283,3664,62.31%,511,1344,212,114,2181
Railroad Commissioner,0224,1165,495,1551,2313,71.81%,644,693,208,42,1587
Railroad Commissioner,0225,1357,596,1953,3689,52.94%,766,988,89,53,1896
Railroad Commissioner,0226,840,421,1261,2554,49.37%,206,882,33,91,1212
Railroad Commissioner,0227,1071,359,1430,1810,79.01%,931,240,196,13,1380
Railroad Commissioner,0228,628,159,787,1175,66.98%,38,705,21,12,776
Railroad Commissioner,0229,229,168,397,828,47.95%,97,250,4,28,379
Railroad Commissioner,0230,354,155,519,1094,47.44%,22,465,9,8,504
Railroad Commissioner,0231,802,445,1247,2376,52.48%,215,863,33,80,1191
Railroad Commissioner,0232,942,438,1380,1826,75.58%,657,485,147,29,1318
Railroad Commissioner,0233,2583,703,3286,4713,69.72%,1306,1358,379,105,3148
Railroad Commissioner,0234,2425,728,3153,4042,78.01%,2115,627,264,29,3035
Railroad Commissioner,0235,461,203,664,1421,46.73%,22,600,9,12,643
Railroad Commissioner,0236,555,308,964,2104,45.82%,41,851,17,26,935
Railroad Commissioner,0237,740,312,1052,2146,49.02%,21,978,8,18,1025
Railroad Commissioner,0238,607,317,924,1948,47.43%,24,825,17,24,890
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0239,694,334,1028,1984,51.81%,30,943,16,21,1010
Railroad Commissioner,0240,1008,292,1300,2601,49.98%,23,1220,16,16,1275
Railroad Commissioner,0241,652,383,1035,2466,41.97%,307,614,21,52,994
Railroad Commissioner,0242,507,314,821,1744,47.08%,332,377,23,49,781
Railroad Commissioner,0243,245,42,287,475,60.42%,5,273,4,2,284
Railroad Commissioner,0244,1412,538,1950,3296,59.16%,848,889,94,55,1886
Railroad Commissioner,0245,2103,811,2914,4679,62.28%,1708,898,137,67,2810
Railroad Commissioner,0246,2214,482,2696,3971,67.89%,1576,872,103,63,2614
Railroad Commissioner,0247,441,376,817,1595,51.22%,18,754,14,17,803
Railroad Commissioner,0248,454,347,801,2147,37.31%,154,554,18,39,765
Railroad Commissioner,0249,1127,365,1492,2825,52.81%,879,485,64,36,1464
Railroad Commissioner,0250,288,183,471,925,50.92%,16,436,1,9,462
Railroad Commissioner,0251,806,378,1184,2132,55.53%,58,1070,11,12,1151
Railroad Commissioner,0252,927,309,1236,2292,53.93%,25,1147,16,16,1204
Railroad Commissioner,0253,760,311,1071,2154,49.72%,30,993,10,17,1050
Railroad Commissioner,0254,411,280,691,1675,41.25%,134,480,20,30,664
Railroad Commissioner,0255,1257,586,1843,2489,74.05%,677,789,248,51,1765
Railroad Commissioner,0256,1398,583,1981,3321,59.65%,607,1089,97,96,1889
Railroad Commissioner,0257,999,622,1621,3497,46.35%,336,1102,36,91,1565
Railroad Commissioner,0258,1948,606,2556,3346,76.39%,1683,504,261,37,2485
Railroad Commissioner,0259,1031,414,1445,2312,62.50%,26,1355,18,16,1415
Railroad Commissioner,0260,548,227,775,1300,59.62%,356,330,37,18,741
Railroad Commissioner,0261,442,531,973,1457,66.78%,226,620,26,56,928
Railroad Commissioner,0262,1849,676,2525,4397,57.43%,1233,939,173,75,2420
Railroad Commissioner,0263,2212,665,2877,4016,71.64%,1919,673,140,54,2786
Railroad Commissioner,0264,1114,627,1741,3101,56.14%,801,693,106,63,1663
Railroad Commissioner,0265,1995,608,2603,3582,72.67%,1646,562,252,43,2503
Railroad Commissioner,0266,737,443,1180,2147,54.96%,399,635,40,63,1137
Railroad Commissioner,0267,421,293,714,1433,49.83%,238,389,20,36,683
Railroad Commissioner,0268,1178,689,1867,2528,73.85%,898,614,226,33,1771
Railroad Commissioner,0269,1307,365,1672,2114,79.09%,1171,302,123,11,1607
Railroad Commissioner,0270,1816,688,2504,3985,62.84%,1121,1007,154,122,2404
Railroad Commissioner,0271,1150,346,1496,2558,58.48%,34,1396,20,16,1466
Railroad Commissioner,0272,871,415,1286,2334,55.10%,395,693,94,56,1238
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0273,1176,647,1823,2485,73.36%,1312,300,142,21,1775
Railroad Commissioner,0274,1263,311,1574,2223,70.81%,883,451,144,39,1517
Railroad Commissioner,0275,586,334,920,2059,44.68%,141,691,21,40,893
Railroad Commissioner,0276,1027,255,1282,2458,52.16%,17,1215,13,15,1260
Railroad Commissioner,0277,573,338,911,1898,48.00%,286,534,29,31,880
Railroad Commissioner,0278,1059,469,1528,2602,58.72%,586,757,50,73,1466
Railroad Commissioner,0279,790,314,1104,2073,53.26%,581,410,43,32,1066
Railroad Commissioner,0280,444,362,806,1656,48.67%,199,506,29,42,776
Railroad Commissioner,0281,1287,590,1877,2507,74.87%,754,725,256,40,1775
Railroad Commissioner,0282,777,604,1381,2144,64.41%,689,494,120,32,1335
Railroad Commissioner,0283,2353,1143,3496,6365,54.93%,430,2725,90,145,3390
Railroad Commissioner,0284,1592,574,2166,4079,53.10%,645,1253,93,80,2071
Railroad Commissioner,0285,1080,431,1511,2680,56.38%,98,1303,22,42,1465
Railroad Commissioner,0286,1714,545,2259,3757,60.13%,159,1928,45,72,2204
Railroad Commissioner,0287,853,408,1261,1658,76.06%,517,503,131,61,1212
Railroad Commissioner,0288,883,314,1197,2208,54.21%,29,1122,7,12,1170
Railroad Commissioner,0289,481,352,833,1584,52.59%,276,450,23,40,789
Railroad Commissioner,0290,705,332,1037,1623,63.89%,720,224,44,26,1014
Railroad Commissioner,0291,604,233,837,1218,68.72%,319,381,83,22,805
Railroad Commissioner,0292,549,178,727,1379,52.72%,67,581,15,37,700
Railroad Commissioner,0293,778,475,1253,1811,69.19%,454,585,102,54,1195
Railroad Commissioner,0294,852,198,1050,2054,51.12%,15,993,14,10,1032
Railroad Commissioner,0295,270,111,381,894,42.62%,11,353,5,4,373
Railroad Commissioner,0296,701,385,1086,1705,63.70%,494,424,63,41,1022
Railroad Commissioner,0297,730,341,1071,2055,52.12%,335,596,57,41,1029
Railroad Commissioner,0298,1096,387,1483,2236,66.32%,670,604,109,54,1437
Railroad Commissioner,0299,499,236,735,1506,48.80%,211,422,27,45,705
Railroad Commissioner,0300,3386,728,4114,5480,75.07%,2927,793,234,47,4001
Railroad Commissioner,0301,737,392,1129,2337,48.31%,340,652,38,50,1080
Railroad Commissioner,0302,1199,591,1790,3277,54.62%,822,785,66,62,1735
Railroad Commissioner,0303,1902,692,2594,3375,76.86%,1817,450,216,21,2504
Railroad Commissioner,0304,1190,474,1664,2326,71.54%,781,569,196,43,1589
Railroad Commissioner,0305,2156,645,2801,4838,57.90%,823,1665,92,112,2692
Railroad Commissioner,0306,1096,299,1395,1896,73.58%,881,308,140,22,1351
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wayne Christian,DEM Grady Yarbrough,LIB Mark Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0307,1458,801,2259,3270,69.08%,1338,572,202,48,2160
Railroad Commissioner,0308,527,225,752,1457,51.61%,159,488,20,47,714
Railroad Commissioner,0309,2151,591,2752,3495,78.74%,1934,461,258,27,2680
Railroad Commissioner,0310,710,326,1036,1464,70.77%,579,316,72,29,996
Railroad Commissioner,0311,932,643,1575,3222,48.88%,646,691,99,46,1482
Railroad Commissioner,0312,1713,552,2265,3724,60.82%,1059,896,168,60,2183
Railroad Commissioner,0313,23,8,31,61,50.82%,15,7,1,1,24
Railroad Commissioner,0314,3000,817,3817,5606,68.09%,2027,1410,181,87,3705
Railroad Commissioner,0315,803,353,1158,1636,70.66%,563,389,125,33,1110
Railroad Commissioner,0316,741,340,1081,1513,71.45%,495,358,163,29,1045
Railroad Commissioner,0317,594,252,846,1661,50.93%,189,529,49,40,807
Railroad Commissioner,0318,1729,529,2258,3776,59.80%,109,1993,41,51,2194
Railroad Commissioner,0319,996,271,1267,2199,57.62%,58,1119,29,32,1238
Railroad Commissioner,0320,556,238,794,1570,50.57%,255,454,22,24,755
Railroad Commissioner,0321,887,363,1230,2483,49.54%,297,726,36,88,1147
Railroad Commissioner,0322,426,124,550,1210,45.45%,138,361,25,14,538
