Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0275,585,334,919,2059,44.63%,150,743,893
Sheriff,0276,1027,255,1282,2458,52.16%,34,1219,1253
Sheriff,0277,573,338,911,1898,48.00%,307,575,882
Sheriff,0278,1059,469,1528,2602,58.72%,597,871,1468
Sheriff,0279,789,314,1103,2073,53.21%,611,451,1062
Sheriff,0280,444,362,806,1656,48.67%,200,568,768
Sheriff,0281,1287,590,1877,2507,74.87%,823,943,1766
Sheriff,0282,773,604,1377,2144,64.23%,744,585,1329
Sheriff,0283,2351,1143,3494,6365,54.89%,499,2899,3398
Sheriff,0284,1585,574,2159,4079,52.93%,694,1370,2064
Sheriff,0285,1077,431,1508,2680,56.27%,118,1340,1458
Sheriff,0286,1708,545,2253,3757,59.97%,188,2005,2193
Sheriff,0287,851,408,1259,1658,75.93%,550,647,1197
Sheriff,0288,881,314,1195,2208,54.12%,44,1123,1167
Sheriff,0289,481,352,833,1584,52.59%,279,510,789
Sheriff,0290,705,332,1037,1623,63.89%,737,274,1011
Sheriff,0291,503,233,836,1218,68.64%,332,470,802
Sheriff,0292,549,178,727,1379,52.72%,79,625,704
Sheriff,0293,778,475,1253,1811,69.19%,515,675,1190
Sheriff,0294,852,198,1050,2054,51.12%,22,1011,1033
Sheriff,0295,270,111,381,894,42.62%,16,357,373
Sheriff,0296,701,385,1086,1705,63.70%,533,491,1024
Sheriff,0297,729,341,1070,2055,52.07%,368,658,1026
Sheriff,0298,1095,387,1482,2236,66.28%,710,714,1424
Sheriff,0299,499,236,735,1506,48.80%,215,477,692
Sheriff,0300,3385,728,4113,5480,75.05%,3072,921,3993
Sheriff,0301,737,392,1129,2337,48.31%,355,722,1077
Sheriff,0302,1197,591,1788,3277,54.56%,875,849,1724
Sheriff,0303,1896,692,2588,3375,76.68%,1897,592,2489
Sheriff,0304,1190,474,1664,2326,71.54%,859,722,1581
Sheriff,0305,2154,645,2799,4838,57.85%,893,1806,2699
Sheriff,0306,1095,299,1395,1896,73.58%,945,397,1342
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0307,1456,801,2257,3270,69.02%,1453,713,2166
Sheriff,0308,526,225,751,1457,51.54%,166,542,708
Sheriff,0309,2160,591,2751,3495,78.71%,2042,621,2663
Sheriff,0310,709,326,1035,1464,70.70%,612,381,993
Sheriff,0311,930,643,1573,3222,48.82%,688,794,1482
Sheriff,0312,1705,552,2257,3724,60.61%,1127,1034,2161
Sheriff,0313,23,8,31,61,50.82%,14,11,25
Sheriff,0314,2997,817,3814,5606,68.03%,2193,1538,3731
Sheriff,0315,801,353,1154,1636,70.54%,618,488,1106
Sheriff,0316,739,340,1079,1513,71.32%,537,492,1029
Sheriff,0317,593,252,845,1661,50.87%,210,598,808
Sheriff,0318,1726,529,2255,3776,59.72%,154,2038,2192
Sheriff,0319,994,271,1265,2199,57.53%,74,1159,1233
Sheriff,0320,554,238,792,1570,50.45%,274,486,760
Sheriff,0321,867,363,1230,2483,49.54%,306,842,1148
Sheriff,0322,426,124,550,1210,45.45%,162,374,536
Sheriff,0323,700,296,996,1793,55.55%,366,595,961
Sheriff,0324,1444,560,2004,2607,76.87%,1175,755,1930
Sheriff,0325,802,257,1059,2176,48.67%,185,827,1012
Sheriff,0326,271,129,400,736,54.35%,134,245,379
Sheriff,0327,738,141,879,1758,50.00%,27,828,855
Sheriff,0328,425,286,711,1631,43.59%,204,473,677
Sheriff,0329,589,260,849,1621,52.38%,229,584,813
Sheriff,0330,863,326,1189,2146,55.41%,510,636,1146
