Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
"Judge, County Criminal Court No. 16",0204,2099,577,2676,3568,75.00%,1422,1031,2453
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
"Judge, County Criminal Court No. 16",0205,771,171,942,1724,54.64%,27,894,921
"Judge, County Criminal Court No. 16",0206,1277,494,1771,2965,59.73%,571,1075,1646
"Judge, County Criminal Court No. 16",0207,605,212,817,1166,70.07%,288,481,769
"Judge, County Criminal Court No. 16",0208,909,338,1247,2256,55.27%,321,842,1163
"Judge, County Criminal Court No. 16",0209,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 16",0210,1259,489,1748,2781,62.86%,278,1389,1667
"Judge, County Criminal Court No. 16",0211,964,595,1559,3130,49.81%,500,960,1460
"Judge, County Criminal Court No. 16",0212,309,323,632,1370,46.13%,126,468,594
"Judge, County Criminal Court No. 16",0213,1782,795,2577,3406,75.66%,1975,474,2449
"Judge, County Criminal Court No. 16",0214,1016,418,1434,1911,75.04%,833,484,1317
"Judge, County Criminal Court No. 16",0215,1096,636,1732,2286,75.77%,971,633,1604
"Judge, County Criminal Court No. 16",0216,778,244,1022,1966,51.98%,79,899,978
"Judge, County Criminal Court No. 16",0217,1545,618,2163,2736,79.06%,1314,709,2023
"Judge, County Criminal Court No. 16",0218,1099,457,1555,2467,63.07%,445,985,1430
"Judge, County Criminal Court No. 16",0219,1117,515,1632,2868,56.90%,158,1391,1549
"Judge, County Criminal Court No. 16",0220,832,306,1138,2362,48.18%,704,362,1066
"Judge, County Criminal Court No. 16",0221,1032,473,1505,2598,57.93%,551,871,1422
"Judge, County Criminal Court No. 16",0222,1460,671,2131,2728,78.12%,947,1015,1962
"Judge, County Criminal Court No. 16",0223,1750,517,2267,3664,61.87%,597,1510,2107
"Judge, County Criminal Court No. 16",0224,1155,495,1551,2313,71.81%,717,822,1539
"Judge, County Criminal Court No. 16",0225,1353,596,1949,3689,52.83%,831,1030,1861
"Judge, County Criminal Court No. 16",0226,840,421,1261,2554,49.37%,305,903,1208
"Judge, County Criminal Court No. 16",0227,1071,359,1430,1810,79.01%,1010,334,1344
"Judge, County Criminal Court No. 16",0228,625,159,784,1175,66.72%,49,720,769
"Judge, County Criminal Court No. 16",0229,227,168,395,828,47.71%,129,243,372
"Judge, County Criminal Court No. 16",0230,353,165,518,1094,47.35%,28,476,504
"Judge, County Criminal Court No. 16",0231,801,445,1246,2376,52.44%,303,883,1186
"Judge, County Criminal Court No. 16",0232,941,438,1379,1826,75.52%,729,548,1277
"Judge, County Criminal Court No. 16",0233,2571,703,3274,4713,69.47%,1456,1573,3029
"Judge, County Criminal Court No. 16",0234,2419,728,3147,4042,77.86%,2245,717,2962
"Judge, County Criminal Court No. 16",0235,461,203,664,1421,46.73%,29,609,638
"Judge, County Criminal Court No. 16",0236,555,308,964,2104,45.82%,57,877,934
"Judge, County Criminal Court No. 16",0237,739,312,1051,2146,48.97%,37,981,1018
"Judge, County Criminal Court No. 16",0238,606,317,923,1948,47.38%,42,846,888
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
"Judge, County Criminal Court No. 16",0239,694,334,1028,1984,51.81%,43,964,1007
"Judge, County Criminal Court No. 16",0240,1007,292,1299,2601,49.94%,37,1229,1266
"Judge, County Criminal Court No. 16",0241,651,383,1034,2466,41.93%,358,633,991
"Judge, County Criminal Court No. 16",0242,506,314,820,1744,47.02%,374,397,771
"Judge, County Criminal Court No. 16",0243,244,42,286,475,60.21%,4,277,281
"Judge, County Criminal Court No. 16",0244,1409,538,1947,3296,59.07%,919,935,1854
"Judge, County Criminal Court No. 16",0245,2100,811,2911,4679,62.21%,1809,957,2766
"Judge, County Criminal Court No. 16",0246,2209,482,2691,3971,67.77%,1657,932,2589
"Judge, County Criminal Court No. 16",0247,440,376,816,1595,51.16%,25,774,799
"Judge, County Criminal Court No. 16",0248,453,347,800,2147,37.26%,200,553,753
"Judge, County Criminal Court No. 16",0249,1124,365,1489,2825,52.71%,930,516,1446
"Judge, County Criminal Court No. 16",0250,288,183,471,925,50.92%,25,435,460
"Judge, County Criminal Court No. 16",0251,806,378,1184,2132,55.53%,67,1076,1143
"Judge, County Criminal Court No. 16",0252,925,309,1235,2292,53.88%,34,1166,1200
"Judge, County Criminal Court No. 16",0253,759,311,1070,2154,49.68%,37,1016,1053
"Judge, County Criminal Court No. 16",0254,411,280,691,1675,41.25%,163,490,653
"Judge, County Criminal Court No. 16",0255,1253,586,1839,2489,73.89%,785,914,1699
"Judge, County Criminal Court No. 16",0256,1398,583,1981,3321,59.65%,693,1167,1860
"Judge, County Criminal Court No. 16",0257,997,622,1619,3497,46.30%,412,1142,1554
"Judge, County Criminal Court No. 16",0258,1948,608,2555,3346,76.39%,1792,614,2406
"Judge, County Criminal Court No. 16",0259,1030,414,1444,2312,62.46%,41,1368,1409
"Judge, County Criminal Court No. 16",0260,547,227,774,1300,59.54%,382,351,733
"Judge, County Criminal Court No. 16",0261,442,531,973,1457,66.78%,299,618,917
"Judge, County Criminal Court No. 16",0262,1847,676,2523,4397,57.38%,1337,1038,2375
"Judge, County Criminal Court No. 16",0263,2208,665,2873,4016,71.54%,2023,726,2749
"Judge, County Criminal Court No. 16",0264,1110,627,1737,3101,56.01%,872,768,1640
"Judge, County Criminal Court No. 16",0265,1991,608,2599,3582,72.56%,1775,652,2427
"Judge, County Criminal Court No. 16",0266,737,443,1180,2147,54.96%,466,655,1121
"Judge, County Criminal Court No. 16",0267,421,293,714,1433,49.83%,280,399,679
"Judge, County Criminal Court No. 16",0268,1174,689,1863,2528,73.69%,1017,678,1695
"Judge, County Criminal Court No. 16",0269,1305,365,1670,2114,79.00%,1229,341,1570
"Judge, County Criminal Court No. 16",0270,1816,688,2504,3985,62.84%,1262,1077,2339
"Judge, County Criminal Court No. 16",0271,1150,346,1496,2558,58.48%,40,1424,1464
"Judge, County Criminal Court No. 16",0272,870,415,1285,2334,55.06%,449,765,1214
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Garcia,DEM Darrell William Jordan,Totals
"Judge, County Criminal Court No. 16",0273,1175,647,1822,2485,73.32%,1369,365,1734
"Judge, County Criminal Court No. 16",0274,1261,311,1572,2223,70.72%,957,501,1458
"Judge, County Criminal Court No. 16",0275,585,334,919,2059,44.63%,171,715,886
"Judge, County Criminal Court No. 16",0276,1027,255,1282,2458,52.16%,21,1231,1252
"Judge, County Criminal Court No. 16",0277,573,338,911,1898,48.00%,327,546,873
"Judge, County Criminal Court No. 16",0278,1059,469,1528,2602,58.72%,676,778,1454
"Judge, County Criminal Court No. 16",0279,789,314,1103,2073,53.21%,615,437,1052
"Judge, County Criminal Court No. 16",0280,444,362,806,1656,48.67%,250,509,759
"Judge, County Criminal Court No. 16",0281,1287,590,1877,2507,74.87%,843,854,1697
"Judge, County Criminal Court No. 16",0282,773,604,1377,2144,64.23%,766,537,1303
"Judge, County Criminal Court No. 16",0283,2351,1143,3494,6365,54.89%,549,2812,3361
"Judge, County Criminal Court No. 16",0284,1585,574,2159,4079,52.93%,718,1326,2044
"Judge, County Criminal Court No. 16",0285,1077,431,1508,2680,56.27%,144,1316,1460
"Judge, County Criminal Court No. 16",0286,1708,545,2253,3757,59.97%,203,1973,2176
"Judge, County Criminal Court No. 16",0287,851,408,1259,1658,75.93%,597,581,1178
"Judge, County Criminal Court No. 16",0288,881,314,1195,2208,54.12%,33,1137,1170
"Judge, County Criminal Court No. 16",0289,481,352,833,1584,52.59%,314,465,779
"Judge, County Criminal Court No. 16",0290,705,332,1037,1623,63.89%,755,244,999
"Judge, County Criminal Court No. 16",0291,603,233,836,1218,68.64%,361,426,787
"Judge, County Criminal Court No. 16",0292,549,178,727,1379,52.72%,98,604,702
"Judge, County Criminal Court No. 16",0293,778,475,1253,1811,69.19%,522,638,1160
"Judge, County Criminal Court No. 16",0294,852,198,1050,2054,51.12%,12,1020,1032
"Judge, County Criminal Court No. 16",0295,270,111,381,894,42.62%,11,359,370
"Judge, County Criminal Court No. 16",0296,701,385,1086,1705,63.70%,546,461,1007
"Judge, County Criminal Court No. 16",0297,729,341,1070,2055,52.07%,370,639,1009
"Judge, County Criminal Court No. 16",0298,1095,387,1482,2236,66.28%,729,681,1410
"Judge, County Criminal Court No. 16",0299,499,236,735,1506,48.80%,229,460,689
"Judge, County Criminal Court No. 16",0300,3385,728,4113,5480,75.05%,3063,866,3929
"Judge, County Criminal Court No. 16",0301,737,392,1129,2337,48.31%,403,670,1073
"Judge, County Criminal Court No. 16",0302,1197,591,1788,3277,54.56%,911,804,1715
"Judge, County Criminal Court No. 16",0303,1896,692,2588,3375,76.68%,1934,531,2465
"Judge, County Criminal Court No. 16",0304,1190,474,1664,2326,71.54%,900,643,1543
"Judge, County Criminal Court No. 16",0305,2154,645,2799,4838,57.85%,929,1753,2682
"Judge, County Criminal Court No. 16",0306,1096,299,1395,1896,73.58%,937,362,1299
