Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Hemphill,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0227,1071,359,1430,1810,79.01%,942,419,1361
"District Judge, 125th Judicial District",0228,625,159,784,1175,66.72%,48,724,772
"District Judge, 125th Judicial District",0229,227,168,395,828,47.71%,107,259,366
"District Judge, 125th Judicial District",0230,353,155,518,1094,47.35%,25,476,501
"District Judge, 125th Judicial District",0231,801,445,1246,2376,52.44%,252,936,1188
"District Judge, 125th Judicial District",0232,941,438,1379,1826,75.52%,678,613,1291
"District Judge, 125th Judicial District",0233,2571,703,3274,4713,69.47%,1416,1647,3063
"District Judge, 125th Judicial District",0234,2419,728,3147,4042,77.86%,2131,848,2979
"District Judge, 125th Judicial District",0235,461,203,664,1421,46.73%,29,604,633
"District Judge, 125th Judicial District",0236,555,308,964,2104,45.82%,55,882,937
"District Judge, 125th Judicial District",0237,739,312,1051,2146,48.97%,26,994,1020
"District Judge, 125th Judicial District",0238,606,317,923,1948,47.38%,30,854,884
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Hemphill,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0239,694,334,1028,1984,51.81,%,38,968,1006
"District Judge, 125th Judicial District",0240,1007,292,1299,2601,49.94%,32,1239,1271
"District Judge, 125th Judicial District",0241,651,383,1034,2466,41.93%,322,672,994
"District Judge, 125th Judicial District",0242,506,314,820,1744,47.02%,352,412,764
"District Judge, 125th Judicial District",0243,244,42,286,475,60.21%,6,278,284
"District Judge, 125th Judicial District",0244,1409,538,1947,3296,59.07%,905,950,1855
"District Judge, 125th Judicial District",0245,2100,811,2911,4679,62.21%,1785,984,2769
"District Judge, 125th Judicial District",0246,2209,482,2691,3971,67.77%,1641,949,2590
"District Judge, 125th Judicial District",0247,440,376,816,1595,51.16%,25,775,800
"District Judge, 125th Judicial District",0248,453,347,800,2147,37.26%,175,579,754
"District Judge, 125th Judicial District",0249,1124,365,1489,2825,52.71%,919,527,1446
"District Judge, 125th Judicial District",0250,288,183,471,925,50.92%,20,443,463
"District Judge, 125th Judicial District",0251,806,378,1184,2132,55.53%,63,1080,1143
"District Judge, 125th Judicial District",0252,925,309,1235,2292,53.88%,29,1176,1205
"District Judge, 125th Judicial District",0253,759,311,1070,2154,49.68%,30,1015,1045
"District Judge, 125th Judicial District",0254,411,280,691,1675,41.25%,147,507,654
"District Judge, 125th Judicial District",0255,1253,586,1839,2489,73.89%,750,962,1712
"District Judge, 125th Judicial District",0256,1398,583,1981,3321,59.65%,633,1226,1859
"District Judge, 125th Judicial District",0257,997,622,1619,3497,46.30%,359,1185,1544
"District Judge, 125th Judicial District",0258,1948,608,2555,3346,76.39%,1737,691,2428
"District Judge, 125th Judicial District",0259,1030,414,1444,2312,62.46%,41,1365,1406
"District Judge, 125th Judicial District",0260,547,227,774,1300,59.54%,363,368,731
"District Judge, 125th Judicial District",0261,442,531,973,1457,66.78%,250,663,913
"District Judge, 125th Judicial District",0262,1847,676,2523,4397,57.38%,1288,1093,2381
"District Judge, 125th Judicial District",0263,2208,665,2873,4016,71.54%,2002,740,2742
"District Judge, 125th Judicial District",0264,1110,627,1737,3101,56.01%,841,788,1629
"District Judge, 125th Judicial District",0265,1991,608,2599,3582,72.56%,1728,722,2450
"District Judge, 125th Judicial District",0266,737,443,1180,2147,54.96%,421,699,1120
"District Judge, 125th Judicial District",0267,421,293,714,1433,49.83%,263,411,674
"District Judge, 125th Judicial District",0268,1174,689,1863,2528,73.69%,945,784,1729
"District Judge, 125th Judicial District",0269,1305,365,1670,2114,79.00%,1149,423,1572
"District Judge, 125th Judicial District",0270,1816,688,2504,3985,62.84%,1205,1152,2357
"District Judge, 125th Judicial District",0271,1150,346,1496,2558,58.48%,39,1428,1467
"District Judge, 125th Judicial District",0272,870,415,1285,2334,55.06%,426,795,1221
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Hemphill,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0273,1175,647,1822,2485,73.32%,1357,399,1756
"District Judge, 125th Judicial District",0274,1251,311,1572,2223,70.72%,915,559,1474
"District Judge, 125th Judicial District",0275,585,334,919,2059,44.63%,149,736,885
"District Judge, 125th Judicial District",0276,1027,255,1282,2458,52.16%,23,1233,1256
"District Judge, 125th Judicial District",0277,573,338,911,1898,48.00%,314,562,876
"District Judge, 125th Judicial District",0278,1059,469,1528,2602,58.72%,629,817,1446
"District Judge, 125th Judicial District",0279,789,314,1103,2073,53.21%,612,442,1054
"District Judge, 125th Judicial District",0280,444,362,806,1656,48.67%,219,542,761
"District Judge, 125th Judicial District",0281,1287,590,1877,2507,74.87%,783,936,1719
"District Judge, 125th Judicial District",0282,773,604,1377,2144,64.23%,741,576,1317
"District Judge, 125th Judicial District",0283,2351,1143,3494,6365,54.89%,498,2875,3373
"District Judge, 125th Judicial District",0284,1585,574,2159,4079,52.93%,692,1352,2044
"District Judge, 125th Judicial District",0285,1077,431,1508,2680,56.27%,125,1330,1455
"District Judge, 125th Judicial District",0286,1708,545,2253,3757,59.97%,189,1993,2182
"District Judge, 125th Judicial District",0287,851,408,1259,1658,75.93%,553,629,1182
"District Judge, 125th Judicial District",0288,881,314,1195,2208,54.12%,28,1138,1166
"District Judge, 125th Judicial District",0289,481,352,833,1584,52.59%,292,477,769
"District Judge, 125th Judicial District",0290,705,332,1037,1623,63.89%,747,257,1004
"District Judge, 125th Judicial District",0291,503,233,836,1218,68.64%,334,453,787
"District Judge, 125th Judicial District",0292,549,178,727,1379,52.72%,87,613,700
"District Judge, 125th Judicial District",0293,778,475,1253,1811,69.19%,504,665,1169
"District Judge, 125th Judicial District",0294,852,198,1050,2054,51.12%,16,1018,1034
"District Judge, 125th Judicial District",0295,270,111,381,894,42.62%,13,358,371
"District Judge, 125th Judicial District",0296,701,385,1086,1705,63.70%,522,489,1011
"District Judge, 125th Judicial District",0297,729,341,1070,2055,52.07%,353,659,1012
"District Judge, 125th Judicial District",0298,1095,387,1482,2236,66.28%,719,697,1416
"District Judge, 125th Judicial District",0299,499,236,735,1506,48.80%,219,467,686
"District Judge, 125th Judicial District",0300,3385,728,4113,5480,75.05%,3033,909,3942
"District Judge, 125th Judicial District",0301,737,392,1129,2337,48.31%,384,685,1069
"District Judge, 125th Judicial District",0302,1197,591,1788,3277,54.56%,875,832,1707
"District Judge, 125th Judicial District",0303,1896,692,2588,3375,76.68%,1836,637,2473
"District Judge, 125th Judicial District",0304,1190,474,1664,2326,71.54%,839,710,1549
"District Judge, 125th Judicial District",0305,2154,545,2799,4838,57.85%,890,1787,2677
"District Judge, 125th Judicial District",0306,1095,299,1395,1896,73.58%,914,399,1313
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Hemphill,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0307,1456,801,2257,3270,69.02%,1428,694,2122
"District Judge, 125th Judicial District",0308,526,225,751,1457,51.54%,174,530,704
"District Judge, 125th Judicial District",0309,2160,591,2751,3495,78.71%,1975,652,2627
"District Judge, 125th Judicial District",0310,709,326,1035,1464,70.70%,603,366,969
"District Judge, 125th Judicial District",0311,930,643,1573,3222,48.82%,677,781,1458
"District Judge, 125th Judicial District",0312,1705,552,2257,3724,60.61%,1103,1032,2135
"District Judge, 125th Judicial District",0313,23,8,31,61,50.82%,14,11,25
"District Judge, 125th Judicial District",0314,2997,817,3814,5606,68.03%,2126,1549,3675
"District Judge, 125th Judicial District",0315,801,353,1154,1636,70.54%,600,484,1084
"District Judge, 125th Judicial District",0316,739,340,1079,1513,71.32%,518,488,1006
"District Judge, 125th Judicial District",0317,593,252,845,1661,50.87%,212,586,798
"District Judge, 125th Judicial District",0318,1726,529,2255,3776,59.72%,138,2046,2184
"District Judge, 125th Judicial District",0319,994,271,1265,2199,57.53%,71,1156,1227
"District Judge, 125th Judicial District",0320,554,238,792,1570,50.45%,267,478,745
