Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0228,825,159,784,1175,88.72%,43,727,770
"District Judge, 339th Judicial District",0229,227,188,395,828,47.71%,104,287,371
"District Judge, 339th Judicial District",0230,353,185,518,1094,47.35%,25,479,504
"District Judge, 339th Judicial District",0231,801,445,1248,2378,52.44%,247,932,1179
"District Judge, 339th Judicial District",0232,941,438,1379,1828,75.52%,703,578,1281
"District Judge, 339th Judicial District",0233,2571,703,3274,4713,89.47%,1440,1598,3038
"District Judge, 339th Judicial District",0234,2419,728,3147,4042,77.88%,2201,788,2987
"District Judge, 339th Judicial District",0235,481,203,884,1421,48.73%,25,808,833
"District Judge, 339th Judicial District",0238,555,308,984,2104,45.82%,47,887,934
"District Judge, 339th Judicial District",0237,739,312,1051,2148,48.97%,22,997,1019
"District Judge, 339th Judicial District",0238,808,317,923,1948,47.38%,28,880,888
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mary McFaden,DEM Maria T. (Terri) Jackson,Totals
"District Judge, 339th Judicial District",0239,694,334,1028,1984,51.81,%,34,973,1007
"District Judge, 339th Judicial District",0240,1007,292,1299,2601,49.94%,31,1235,1266
"District Judge, 339th Judicial District",0241,651,383,1034,2466,41.93%,324,668,992
"District Judge, 339th Judicial District",0242,506,314,820,1744,47.02%,348,415,763
"District Judge, 339th Judicial District",0243,244,42,286,475,60.21%,7,276,283
"District Judge, 339th Judicial District",0244,1409,538,1947,3296,59.07%,898,955,1853
"District Judge, 339th Judicial District",0245,2100,811,2911,4679,62.21%,1775,974,2749
"District Judge, 339th Judicial District",0246,2209,482,2691,3971,67.77%,1638,942,2580
"District Judge, 339th Judicial District",0247,440,376,816,1595,51.16%,23,775,798
"District Judge, 339th Judicial District",0248,453,347,800,2147,37.26%,176,577,753
"District Judge, 339th Judicial District",0249,1124,365,1489,2825,52.71%,906,534,1440
"District Judge, 339th Judicial District",0250,288,183,471,925,50.92%,21,440,461
"District Judge, 339th Judicial District",0251,806,378,1184,2132,55.53%,67,1073,1140
"District Judge, 339th Judicial District",0252,925,309,1235,2292,53.88%,22,1180,1202
"District Judge, 339th Judicial District",0253,759,311,1070,2154,49.68%,33,1016,1049
"District Judge, 339th Judicial District",0254,411,280,691,1675,41.25%,137,513,650
"District Judge, 339th Judicial District",0255,1253,586,1839,2489,73.89%,778,928,1706
"District Judge, 339th Judicial District",0256,1398,583,1981,3321,59.65%,646,1219,1865
"District Judge, 339th Judicial District",0257,997,622,1619,3497,46.30%,349,1196,1545
"District Judge, 339th Judicial District",0258,1948,608,2556,3346,76.39%,1764,639,2403
"District Judge, 339th Judicial District",0259,1030,414,1444,2312,62.46%,37,1369,1406
"District Judge, 339th Judicial District",0260,547,227,774,1300,59.54%,365,361,726
"District Judge, 339th Judicial District",0261,442,531,973,1457,66.78%,259,653,912
"District Judge, 339th Judicial District",0262,1847,676,2523,4397,57.38%,1315,1063,2378
"District Judge, 339th Judicial District",0263,2208,665,2873,4016,71.54%,1985,751,2736
"District Judge, 339th Judicial District",0264,1110,627,1737,3101,56.01%,847,785,1632
"District Judge, 339th Judicial District",0265,1991,608,2599,3582,72.56%,1755,679,2434
"District Judge, 339th Judicial District",0266,737,443,1180,2147,54.96%,426,686,1112
"District Judge, 339th Judicial District",0267,421,293,714,1433,49.83%,249,424,673
