Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0272,870,415,1285,2334,55.06%,444,763,1207
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0273,1175,647,1822,2485,73.32%,1407,331,1738
"District Judge, 351 st Judicial District",0274,1261,311,1572,2223,70.72%,994,470,1464
"District Judge, 351 st Judicial District",0275,585,334,919,2059,44.63%,156,727,883
"District Judge, 351 st Judicial District",0276,1027,255,1282,2458,52.16%,22,1232,1254
"District Judge, 351 st Judicial District",0277,573,338,911,1898,48.00%,306,565,871
"District Judge, 351 st Judicial District",0278,1059,469,1528,2602,58.72%,630,810,1440
"District Judge, 351 st Judicial District",0279,789,314,1103,2073,53.21%,595,452,1047
"District Judge, 351 st Judicial District",0280,444,362,806,1656,48.67%,212,539,751
"District Judge, 351 st Judicial District",0281,1287,590,1877,2507,74.87%,941,756,1697
"District Judge, 351 st Judicial District",0282,773,604,1377,2144,64.23%,779,524,1303
"District Judge, 351 st Judicial District",0283,2351,1143,3494,6365,54.89%,476,2882,3358
"District Judge, 351 st Judicial District",0284,1585,574,2159,4079,52.93%,700,1336,2036
"District Judge, 351 st Judicial District",0285,1077,431,1508,2680,56.27%,116,1339,1455
"District Judge, 351 st Judicial District",0286,1708,545,2253,3757,59.97%,184,1984,2168
"District Judge, 351 st Judicial District",0287,851,408,1259,1658,75.93%,610,564,1174
"District Judge, 351 st Judicial District",0288,881,314,1195,2208,54.12%,23,1141,1164
"District Judge, 351 st Judicial District",0289,481,352,833,1584,52.59%,299,476,775
"District Judge, 351 st Judicial District",0290,705,332,1037,1623,63.89%,744,255,999
"District Judge, 351 st Judicial District",0291,603,233,836,1218,68.64%,354,428,782
"District Judge, 351 st Judicial District",0292,549,178,727,1379,52.72%,78,620,698
"District Judge, 351 st Judicial District",0293,778,475,1253,1811,69.19%,530,625,1155
"District Judge, 351 st Judicial District",0294,852,198,1050,2054,51.12%,13,1018,1031
"District Judge, 351 st Judicial District",0295,270,111,381,894,42.62%,11,359,370
"District Judge, 351 st Judicial District",0296,701,385,1086,1705,63.70%,549,460,1009
"District Judge, 351 st Judicial District",0297,729,341,1070,2055,52.07%,370,643,1013
"District Judge, 351 st Judicial District",0298,1095,387,1482,2236,66.28%,730,675,1405
"District Judge, 351 st Judicial District",0299,499,236,735,1506,48.80%,21,7,466,683
"District Judge, 351 st Judicial District",0300,3385,728,4113,5480,75.05%,3045,874,3919
"District Judge, 351 st Judicial District",0301,737,392,1129,2337,48.31%,376,689,1065
"District Judge, 351 st Judicial District",0302,1197,591,1788,3277,54.56%,873,832,1705
"District Judge, 351 st Judicial District",0303,1896,692,2588,3375,76.68%,1981,481,2462
"District Judge, 351 st Judicial District",0304,1190,474,1664,2326,71.54%,935,599,1534
"District Judge, 351 st Judicial District",0305,2154,645,2799,4838,57.85%,880,1797,2677
"District Judge, 351 st Judicial District",0306,1096,299,1395,1896,73.58%,981,320,1301
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM George Powell,Totals
"District Judge, 351 st Judicial District",0307,1456,801,2257,3270,69.02%,1481,631,2112
"District Judge, 351 st Judicial District",0308,526,225,751,1457,51.54%,185,510,695
"District Judge, 351 st Judicial District",0309,2160,591,2751,3495,78.71%,2102,507,2609
"District Judge, 351 st Judicial District",0310,709,326,1035,1464,70.70%,624,341,965
"District Judge, 351 st Judicial District",0311,930,643,1573,3222,48.82%,713,741,1454
"District Judge, 351 st Judicial District",0312,1705,552,2257,3724,60.61%,1162,968,2130
"District Judge, 351 st Judicial District",0313,23,8,31,61,50.82%,16,6,22
