Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM R. Dakota Carter,LIB Whitney Bilyeu,Totals
"Member, State Board of Education, District 6",0686,53,5,58,221,26.24%,14,41,1,56
"Member, State Board of Education, District 6",0687,1510,400,1910,2713,70.40%,1192,586,56,1834
"Member, State Board of Education, District 6",0688,2333,594,2927,3922,74.63%,2179,585,87,2851
"Member, State Board of Education, District 6",0689,726,604,1330,2449,54.31%,513,696,42,1251
"Member, State Board of Education, District 6",0690,1967,553,2520,3614,69.73%,1834,511,99,2444
"Member, State Board of Education, District 6",0691,2131,551,2682,3690,72.68%,1964,566,88,2618
"Member, State Board of Education, District 6",0694,1005,319,1324,2478,53.43%,508,736,40,1284
"Member, State Board of Education, District 6",0701,208,73,281,614,45.77%,112,138,8,258
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM R. Dakota Carter,LIB Whitney Bilyeu,Totals
"Member, State Board of Education, District 6",0706,1248,372,1620,2821,57.43%,544,933,59,1536
"Member, State Board of Education, District 6",0707,377,69,446,757,58.92%,246,160,20,426
"Member, State Board of Education, District 6",0709,2257,528,2785,4136,67.34%,1383,1213,102,2698
"Member, State Board of Education, District 6",0710,1132,450,1582,2096,75.48%,780,638,69,1487
"Member, State Board of Education, District 6",0711,1978,599,2577,3820,67.46%,1240,1176,65,2481
"Member, State Board of Education, District 6",0713,770,365,1135,2006,56.58%,501,563,39,1103
"Member, State Board of Education, District 6",0726,1271,321,1592,2207,72.13%,1323,187,40,1550
"Member, State Board of Education, District 6",0727,981,415,1396,2708,51.55%,334,962,60,1356
"Member, State Board of Education, District 6",0730,1360,406,1766,2435,72.53%,1055,579,53,1687
"Member, State Board of Education, District 6",0734,2307,556,2863,4294,66.67%,1766,918,89,2773
"Member, State Board of Education, District 6",0735,157,61,218,251,86.85%,114,97,3,214
"Member, State Board of Education, District 6",0751,2931,1013,3944,5893,66.93%,2266,1409,150,3825
"Member, State Board of Education, District 6",0759,1389,375,1764,2779,63.48%,973,660,63,1696
"Member, State Board of Education, District 6",0761,1088,167,1255,1598,78.54%,840,326,37,1203
"Member, State Board of Education, District 6",0765,2051,874,2925,5742,50.94%,717,2011,90,2818
"Member, State Board of Education, District 6",0768,1479,387,1866,2643,70.60%,1377,366,70,1813
"Member, State Board of Education, District 6",0771,572,210,782,1588,49.24%,315,404,33,752
"Member, State Board of Education, District 6",0772,2805,477,3282,4606,71.25%,2297,783,88,3168
"Member, State Board of Education, District 6",0773,1693,638,2331,4414,52.81%,536,1597,54,2187
"Member, State Board of Education, District 6",0781,1235,612,1847,3782,48.84%,527,1142,50,1719
"Member, State Board of Education, District 6",0788,2,0,2,13,15.38%,2,0,0,2
"Member, State Board of Education, District 6",0789,1377,420,1797,2998,59.94%,989,689,58,1736
"Member, State Board of Education, District 6",0800,1934,730,2664,4216,63.19%,1523,927,117,2567
"Member, State Board of Education, District 6",0802,54,21,75,224,33.48%,15,51,5,71
